n,s_factor,duration,size,model,mean_runtime,mean_num_vars,mean_num_constrs,optimal_count,timelimit_count,other_status_count,num_instances
10,1.0,short,low,M3 Base,0.0029000759124755858,65,142.8,5,0,0,5
10,1.0,short,low,M3 Opt,0.003412628173828125,65,153.8,5,0,0,5
10,1.0,short,high,M3 Base,0.0013803005218505859,44,87.4,5,0,0,5
10,1.0,short,high,M3 Opt,0.0017905712127685546,44,98.4,5,0,0,5
10,1.0,long,low,M3 Base,0.002998208999633789,65,142.8,5,0,0,5
10,1.0,long,low,M3 Opt,0.004577827453613281,65,153.8,5,0,0,5
10,1.0,long,high,M3 Base,0.0013868331909179688,44,87.4,5,0,0,5
10,1.0,long,high,M3 Opt,0.0021059513092041016,44,98.4,5,0,0,5
10,1.2,short,low,M3 Base,0.004952383041381836,65,144.6,5,0,0,5
10,1.2,short,low,M3 Opt,0.006504583358764649,65,155.6,5,0,0,5
10,1.2,short,high,M3 Base,0.0019358158111572265,49.8,103.4,5,0,0,5
10,1.2,short,high,M3 Opt,0.0035233497619628906,49.8,114.4,5,0,0,5
10,1.2,long,low,M3 Base,0.0035144329071044923,65,143.4,5,0,0,5
10,1.2,long,low,M3 Opt,0.0030598163604736326,65,154.4,5,0,0,5
10,1.2,long,high,M3 Base,0.0016737937927246093,49.2,100.6,5,0,0,5
10,1.2,long,high,M3 Opt,0.0023651123046875,49.2,111.6,5,0,0,5
12,1.0,short,low,M3 Base,0.006370019912719726,90,205.4,5,0,0,5
12,1.0,short,low,M3 Opt,0.009414386749267579,90,218.4,5,0,0,5
12,1.0,short,high,M3 Base,0.0027454376220703127,64.6,135.6,5,0,0,5
12,1.0,short,high,M3 Opt,0.0028967857360839844,64.6,148.6,5,0,0,5
12,1.0,long,low,M3 Base,0.0034959793090820314,90,204.4,5,0,0,5
12,1.0,long,low,M3 Opt,0.003669929504394531,90,217.4,5,0,0,5
12,1.0,long,high,M3 Base,0.0032153606414794924,62.8,130.4,5,0,0,5
12,1.0,long,high,M3 Opt,0.003066873550415039,62.8,143.4,5,0,0,5
12,1.2,short,low,M3 Base,0.005362558364868164,90,200.2,5,0,0,5
12,1.2,short,low,M3 Opt,0.004330205917358399,90,213.2,5,0,0,5
12,1.2,short,high,M3 Base,0.00272517204284668,61.2,126,5,0,0,5
12,1.2,short,high,M3 Opt,0.002995157241821289,61.2,139,5,0,0,5
12,1.2,long,low,M3 Base,0.003695058822631836,90,200.6,5,0,0,5
12,1.2,long,low,M3 Opt,0.0034827709197998045,90,213.6,5,0,0,5
12,1.2,long,high,M3 Base,0.002443885803222656,61.4,127.4,5,0,0,5
12,1.2,long,high,M3 Opt,0.002741718292236328,61.4,140.4,5,0,0,5
15,1.0,short,low,M3 Base,0.09227218627929687,135,314.8,5,0,0,5
15,1.0,short,low,M3 Opt,0.012894248962402344,135,330.8,5,0,0,5
15,1.0,short,high,M3 Base,0.005328369140625,94.6,208.8,5,0,0,5
15,1.0,short,high,M3 Opt,0.005798816680908203,94.6,224.8,5,0,0,5
15,1.0,long,low,M3 Base,0.006933832168579101,135,314.8,5,0,0,5
15,1.0,long,low,M3 Opt,0.006745433807373047,135,330.8,5,0,0,5
15,1.0,long,high,M3 Base,0.003402900695800781,93.4,205.6,5,0,0,5
15,1.0,long,high,M3 Opt,0.003848838806152344,93.4,221.6,5,0,0,5
15,1.2,short,low,M3 Base,0.13850340843200684,135,312.4,5,0,0,5
15,1.2,short,low,M3 Opt,0.03385939598083496,135,328.4,5,0,0,5
15,1.2,short,high,M3 Base,0.006378173828125,95.4,210.2,5,0,0,5
15,1.2,short,high,M3 Opt,0.005853080749511718,95.4,226.2,5,0,0,5
15,1.2,long,low,M3 Base,0.008215570449829101,135,312.4,5,0,0,5
15,1.2,long,low,M3 Opt,0.005958366394042969,135,328.4,5,0,0,5
15,1.2,long,high,M3 Base,0.004112815856933594,92.2,202.4,5,0,0,5
15,1.2,long,high,M3 Opt,0.004229831695556641,92.2,218.4,5,0,0,5
17,1.0,short,low,M3 Base,0.07088861465454102,170,400.2,5,0,0,5
17,1.0,short,low,M3 Opt,0.031947755813598634,170,418.2,5,0,0,5
17,1.0,short,high,M3 Base,0.01143193244934082,117.2,262.6,5,0,0,5
17,1.0,short,high,M3 Opt,0.008610248565673828,117.2,280.6,5,0,0,5
17,1.0,long,low,M3 Base,0.009338951110839844,170,400.2,5,0,0,5
17,1.0,long,low,M3 Opt,0.009518814086914063,170,418.2,5,0,0,5
17,1.0,long,high,M3 Base,0.006519031524658203,113,251.8,5,0,0,5
17,1.0,long,high,M3 Opt,0.005008840560913086,113,269.8,5,0,0,5
17,1.2,short,low,M3 Base,0.05035123825073242,170,401,5,0,0,5
17,1.2,short,low,M3 Opt,0.0472773551940918,170,419,5,0,0,5
17,1.2,short,high,M3 Base,0.04753155708312988,120.6,272.6,5,0,0,5
17,1.2,short,high,M3 Opt,0.010622358322143555,120.6,290.6,5,0,0,5
17,1.2,long,low,M3 Base,0.009251642227172851,170,401,5,0,0,5
17,1.2,long,low,M3 Opt,0.009875774383544922,170,419,5,0,0,5
17,1.2,long,high,M3 Base,0.004796791076660156,114.6,256.6,5,0,0,5
17,1.2,long,high,M3 Opt,0.004794645309448242,114.6,274.6,5,0,0,5
