n,model,mean_runtime,median_runtime,min_runtime,max_runtime,mean_num_vars,mean_num_constrs,optimal_count,timelimit_count,other_status_count,num_runs
3,M3 Base,0.0002350330352783203,0.0002143383026123047,0.0001571178436279297,0.0004520416259765625,8.2,12.2,40,0,0,40
3,M3 Opt,0.00021252036094665527,0.00021255016326904297,0.00015687942504882812,0.00032591819763183594,8.2,16.2,40,0,0,40
5,M3 Base,0.0005533397197723389,0.0004265308380126953,0.0001709461212158203,0.0014119148254394531,18.35,33.45,40,0,0,40
5,M3 Opt,0.0004746198654174805,0.0004445314407348633,0.0001819133758544922,0.000926971435546875,18.35,39.45,40,0,0,40
7,M3 Base,0.0008270680904388428,0.0007870197296142578,0.0002789497375488281,0.0017631053924560547,31.05,62.7,40,0,0,40
7,M3 Opt,0.0012276291847229004,0.0013114213943481445,0.00026702880859375,0.005569934844970703,31.05,70.7,40,0,0,40
10,M3 Base,0.0016055762767791747,0.0015285015106201172,0.0003821849822998047,0.009252071380615234,55.875,119.05,40,0,0,40
10,M3 Opt,0.001958876848220825,0.0018334388732910156,0.0006358623504638672,0.010698080062866211,55.875,130.05,40,0,0,40
