n,s_factor,duration,size,seed,model,status,objective,runtime,wall_time,servers,fireups,num_vars,num_constrs
10,1.2,short,high,43,M3 Opt,2,16.0,0.0012218952178955078,0.0023779869079589844,8,8,36,77
10,1.2,short,high,44,M3 Base,2,12.0,0.0012061595916748047,0.00255584716796875,6,6,45,89
10,1.2,short,high,44,M3 Opt,2,12.0,0.007088899612426758,0.008970022201538086,6,6,45,100
10,1.2,short,high,45,M3 Base,2,8.0,0.0019769668579101562,0.0043239593505859375,4,4,65,146
10,1.2,short,high,45,M3 Opt,2,8.0,0.0036530494689941406,0.006092071533203125,4,4,65,157
10,1.2,short,high,46,M3 Base,2,10.0,0.0022590160369873047,0.003947019577026367,5,5,53,109
10,1.2,short,high,46,M3 Opt,2,10.0,0.003017902374267578,0.004819154739379883,5,5,53,120
10,1.2,long,low,42,M3 Base,2,8.0,0.0033359527587890625,0.00551295280456543,4,4,65,140
10,1.2,long,low,42,M3 Opt,2,8.0,0.0024662017822265625,0.0048100948333740234,4,4,65,151
10,1.2,long,low,43,M3 Base,2,10.0,0.0019600391387939453,0.0041768550872802734,5,5,65,146
10,1.2,long,low,43,M3 Opt,2,10.0,0.0033028125762939453,0.005609989166259766,5,5,65,157
10,1.2,long,low,44,M3 Base,2,8.0,0.003915071487426758,0.006014108657836914,4,4,65,137
10,1.2,long,low,44,M3 Opt,2,8.0,0.003031015396118164,0.0052831172943115234,4,4,65,148
10,1.2,long,low,45,M3 Base,2,8.0,0.005682945251464844,0.007950782775878906,4,4,65,144
10,1.2,long,low,45,M3 Opt,2,8.0,0.0036890506744384766,0.006126880645751953,4,4,65,155
10,1.2,long,low,46,M3 Base,2,8.0,0.0026781558990478516,0.005034208297729492,4,4,65,150
10,1.2,long,low,46,M3 Opt,2,8.0,0.0028100013732910156,0.0054798126220703125,4,4,65,161
10,1.2,long,high,42,M3 Base,2,10.0,0.0016779899597167969,0.003523111343383789,5,5,52,109
10,1.2,long,high,42,M3 Opt,2,10.0,0.0038361549377441406,0.005919933319091797,5,5,52,120
10,1.2,long,high,43,M3 Base,2,16.0,0.0008089542388916016,0.002045869827270508,8,8,36,66
10,1.2,long,high,43,M3 Opt,2,16.0,0.0017991065979003906,0.0030908584594726562,8,8,36,77
10,1.2,long,high,44,M3 Base,2,12.0,0.0013949871063232422,0.0028760433197021484,6,6,45,89
10,1.2,long,high,44,M3 Opt,2,12.0,0.001508951187133789,0.0030243396759033203,6,6,45,100
10,1.2,long,high,45,M3 Base,2,10.0,0.0018200874328613281,0.003741741180419922,5,5,60,130
10,1.2,long,high,45,M3 Opt,2,10.0,0.0022351741790771484,0.0042951107025146484,5,5,60,141
10,1.2,long,high,46,M3 Base,2,10.0,0.002666950225830078,0.004316806793212891,5,5,53,109
10,1.2,long,high,46,M3 Opt,2,10.0,0.0024461746215820312,0.00415802001953125,5,5,53,120
12,1.0,short,low,42,M3 Base,2,8.0,0.006206989288330078,0.009694099426269531,4,4,90,210
12,1.0,short,low,42,M3 Opt,2,8.0,0.004302978515625,0.0072901248931884766,4,4,90,223
12,1.0,short,low,43,M3 Base,2,12.0,0.003468036651611328,0.010006904602050781,6,6,90,211
12,1.0,short,low,43,M3 Opt,2,12.0,0.02727985382080078,0.03182816505432129,6,6,90,224
12,1.0,short,low,44,M3 Base,2,10.0,0.0032269954681396484,0.006242036819458008,5,5,90,193
12,1.0,short,low,44,M3 Opt,2,10.0,0.003170013427734375,0.0073130130767822266,5,5,90,206
12,1.0,short,low,45,M3 Base,2,8.0,0.004278898239135742,0.007384061813354492,4,4,90,200
12,1.0,short,low,45,M3 Opt,2,8.0,0.006713151931762695,0.010059833526611328,4,4,90,213
12,1.0,short,low,46,M3 Base,2,8.0,0.014669179916381836,0.017844200134277344,4,4,90,213
12,1.0,short,low,46,M3 Opt,2,8.0,0.005605936050415039,0.00898289680480957,4,4,90,226
12,1.0,short,high,42,M3 Base,2,12.0,0.0034132003784179688,0.005603790283203125,6,6,64,141
12,1.0,short,high,42,M3 Opt,2,12.0,0.003445148468017578,0.005805015563964844,6,6,64,154
12,1.0,short,high,43,M3 Base,2,20.0,0.0009031295776367188,0.002206087112426758,10,10,42,76
12,1.0,short,high,43,M3 Opt,2,20.0,0.001435995101928711,0.003030061721801758,10,10,42,89
12,1.0,short,high,44,M3 Base,2,14.0,0.0012199878692626953,0.0030951499938964844,7,7,61,122
12,1.0,short,high,44,M3 Opt,2,14.0,0.0017468929290771484,0.003587007522583008,7,7,61,135
12,1.0,short,high,45,M3 Base,2,10.0,0.00557398796081543,0.00830221176147461,5,5,90,200
12,1.0,short,high,45,M3 Opt,2,10.0,0.004030942916870117,0.0072209835052490234,5,5,90,213
12,1.0,short,high,46,M3 Base,2,12.0,0.00261688232421875,0.0047991275787353516,6,6,66,139
12,1.0,short,high,46,M3 Opt,2,12.0,0.003824949264526367,0.005884885787963867,6,6,66,152
12,1.0,long,low,42,M3 Base,2,10.0,0.004514932632446289,0.007338047027587891,5,5,90,206
12,1.0,long,low,42,M3 Opt,2,10.0,0.004462003707885742,0.007476091384887695,5,5,90,219
12,1.0,long,low,43,M3 Base,2,12.0,0.0020220279693603516,0.004837751388549805,6,6,90,211
12,1.0,long,low,43,M3 Opt,2,12.0,0.0032160282135009766,0.006328105926513672,6,6,90,224
12,1.0,long,low,44,M3 Base,2,10.0,0.0025780200958251953,0.00540924072265625,5,5,90,193
12,1.0,long,low,44,M3 Opt,2,10.0,0.002324819564819336,0.005029916763305664,5,5,90,206
12,1.0,long,low,45,M3 Base,2,8.0,0.003835916519165039,0.0068051815032958984,4,4,90,199
12,1.0,long,low,45,M3 Opt,2,8.0,0.004871845245361328,0.00791311264038086,4,4,90,212
12,1.0,long,low,46,M3 Base,2,10.0,0.004528999328613281,0.007691144943237305,5,5,90,213
12,1.0,long,low,46,M3 Opt,2,10.0,0.0034749507904052734,0.007147073745727539,5,5,90,226
12,1.0,long,high,42,M3 Base,2,12.0,0.004666805267333984,0.006648063659667969,6,6,61,128
12,1.0,long,high,42,M3 Opt,2,12.0,0.0025849342346191406,0.0048198699951171875,6,6,61,141
12,1.0,long,high,43,M3 Base,2,20.0,0.0009870529174804688,0.0022346973419189453,10,10,42,76
12,1.0,long,high,43,M3 Opt,2,20.0,0.0014181137084960938,0.0027451515197753906,10,10,42,89
12,1.0,long,high,44,M3 Base,2,14.0,0.0016279220581054688,0.003483295440673828,7,7,61,122
12,1.0,long,high,44,M3 Opt,2,14.0,0.0029032230377197266,0.005040168762207031,7,7,61,135
12,1.0,long,high,45,M3 Base,2,10.0,0.005909919738769531,0.008842945098876953,5,5,84,187
12,1.0,long,high,45,M3 Opt,2,10.0,0.004580020904541016,0.008313179016113281,5,5,84,200
12,1.0,long,high,46,M3 Base,2,12.0,0.002885103225708008,0.0050847530364990234,6,6,66,139
12,1.0,long,high,46,M3 Opt,2,12.0,0.0038480758666992188,0.00616908073425293,6,6,66,152
12,1.2,short,low,42,M3 Base,2,8.0,0.006278038024902344,0.009895086288452148,4,4,90,210
12,1.2,short,low,42,M3 Opt,2,8.0,0.006430864334106445,0.009767770767211914,4,4,90,223
12,1.2,short,low,43,M3 Base,2,10.0,0.003799915313720703,0.0068590641021728516,5,5,90,204
12,1.2,short,low,43,M3 Opt,2,10.0,0.003631114959716797,0.006890058517456055,5,5,90,217
12,1.2,short,low,44,M3 Base,2,10.0,0.002763986587524414,0.005746126174926758,5,5,90,193
12,1.2,short,low,44,M3 Opt,2,10.0,0.002621173858642578,0.0056209564208984375,5,5,90,206
12,1.2,short,low,45,M3 Base,2,10.0,0.00960087776184082,0.012553930282592773,5,5,90,201
12,1.2,short,low,45,M3 Opt,2,10.0,0.006597995758056641,0.009789228439331055,5,5,90,214
12,1.2,short,low,46,M3 Base,2,10.0,0.004369974136352539,0.007419109344482422,5,5,90,193
12,1.2,short,low,46,M3 Opt,2,10.0,0.0023698806762695312,0.005588054656982422,5,5,90,206
12,1.2,short,high,42,M3 Base,2,12.0,0.0029239654541015625,0.005197763442993164,6,6,64,141
12,1.2,short,high,42,M3 Opt,2,12.0,0.003771066665649414,0.006097078323364258,6,6,64,154
12,1.2,short,high,43,M3 Base,2,18.0,0.0010919570922851562,0.0026009082794189453,9,9,50,93
12,1.2,short,high,43,M3 Opt,2,18.0,0.001168966293334961,0.002702951431274414,9,9,50,106
12,1.2,short,high,44,M3 Base,2,14.0,0.002151012420654297,0.004118204116821289,7,7,61,122
12,1.2,short,high,44,M3 Opt,2,14.0,0.004927873611450195,0.006985902786254883,7,7,61,135
12,1.2,short,high,45,M3 Base,2,10.0,0.006289958953857422,0.008872032165527344,5,5,79,172
12,1.2,short,high,45,M3 Opt,2,10.0,0.003679990768432617,0.0064198970794677734,5,5,79,185
12,1.2,short,high,46,M3 Base,2,16.0,0.001168966293334961,0.0028002262115478516,8,8,52,102
12,1.2,short,high,46,M3 Opt,2,16.0,0.0014278888702392578,0.003080129623413086,8,8,52,115
12,1.2,long,low,42,M3 Base,2,10.0,0.0063130855560302734,0.00973367691040039,5,5,90,206
12,1.2,long,low,42,M3 Opt,2,10.0,0.004113912582397461,0.007462978363037109,5,5,90,219
12,1.2,long,low,43,M3 Base,2,12.0,0.0021300315856933594,0.0052280426025390625,6,6,90,204
12,1.2,long,low,43,M3 Opt,2,12.0,0.0034699440002441406,0.0066449642181396484,6,6,90,217
12,1.2,long,low,44,M3 Base,2,10.0,0.002721071243286133,0.00564885139465332,5,5,90,193
12,1.2,long,low,44,M3 Opt,2,10.0,0.002557992935180664,0.005482196807861328,5,5,90,206
12,1.2,long,low,45,M3 Base,2,8.0,0.0036821365356445312,0.0066950321197509766,4,4,90,207
12,1.2,long,low,45,M3 Opt,2,8.0,0.004817008972167969,0.008014917373657227,4,4,90,220
12,1.2,long,low,46,M3 Base,2,10.0,0.003628969192504883,0.006535053253173828,5,5,90,193
12,1.2,long,low,46,M3 Opt,2,10.0,0.002454996109008789,0.0057048797607421875,5,5,90,206
12,1.2,long,high,42,M3 Base,2,12.0,0.00463104248046875,0.00663304328918457,6,6,61,128
12,1.2,long,high,42,M3 Opt,2,12.0,0.002537965774536133,0.0047910213470458984,6,6,61,141
12,1.2,long,high,43,M3 Base,2,18.0,0.0010480880737304688,0.0027000904083251953,9,9,49,90
12,1.2,long,high,43,M3 Opt,2,18.0,0.0010340213775634766,0.002619028091430664,9,9,49,103
12,1.2,long,high,44,M3 Base,2,14.0,0.0011491775512695312,0.0029287338256835938,7,7,61,122
12,1.2,long,high,44,M3 Opt,2,14.0,0.0033419132232666016,0.005322933197021484,7,7,61,135
12,1.2,long,high,45,M3 Base,2,10.0,0.0034880638122558594,0.00648188591003418,5,5,84,195
12,1.2,long,high,45,M3 Opt,2,10.0,0.004727840423583984,0.007776021957397461,5,5,84,208
12,1.2,long,high,46,M3 Base,2,16.0,0.0019030570983886719,0.0035839080810546875,8,8,52,102
12,1.2,long,high,46,M3 Opt,2,16.0,0.0020668506622314453,0.0038709640502929688,8,8,52,115
15,1.0,short,low,42,M3 Base,2,12.0,0.1289219856262207,0.13420510292053223,6,6,135,327
15,1.0,short,low,42,M3 Opt,2,12.0,0.012056112289428711,0.017807960510253906,6,6,135,343
15,1.0,short,low,43,M3 Base,2,12.0,0.02882695198059082,0.0336298942565918,6,6,135,310
15,1.0,short,low,43,M3 Opt,2,12.0,0.030645132064819336,0.03603982925415039,6,6,135,326
15,1.0,short,low,44,M3 Base,2,12.0,0.018025875091552734,0.023530960083007812,6,6,135,318
15,1.0,short,low,44,M3 Opt,2,12.0,0.008667945861816406,0.014253854751586914,6,6,135,334
15,1.0,short,low,45,M3 Base,2,12.0,0.27270007133483887,0.277667760848999,6,6,135,298
15,1.0,short,low,45,M3 Opt,2,12.0,0.005198955535888672,0.01040792465209961,6,6,135,314
15,1.0,short,low,46,M3 Base,2,10.0,0.01288604736328125,0.018340110778808594,5,5,135,321
15,1.0,short,low,46,M3 Opt,2,10.0,0.007903099060058594,0.013878107070922852,5,5,135,337
15,1.0,short,high,42,M3 Base,2,16.0,0.005000114440917969,0.008481025695800781,8,8,89,200
15,1.0,short,high,42,M3 Opt,2,16.0,0.008829116821289062,0.012541770935058594,8,8,89,216
15,1.0,short,high,43,M3 Base,2,14.0,0.005749940872192383,0.009463787078857422,7,7,108,243
15,1.0,short,high,43,M3 Opt,2,14.0,0.0035719871520996094,0.00787806510925293,7,7,108,259
15,1.0,short,high,44,M3 Base,2,14.0,0.0034379959106445312,0.007184028625488281,7,7,98,220
15,1.0,short,high,44,M3 Opt,2,14.0,0.00517582893371582,0.008738040924072266,7,7,98,236
15,1.0,short,high,45,M3 Base,2,17.0,0.00356292724609375,0.00590205192565918,8,9,74,147
15,1.0,short,high,45,M3 Opt,2,17.0,0.00522303581237793,0.007662057876586914,8,9,74,163
15,1.0,short,high,46,M3 Base,2,14.0,0.008890867233276367,0.012372970581054688,7,7,104,234
15,1.0,short,high,46,M3 Opt,2,14.0,0.006194114685058594,0.009989738464355469,7,7,104,250
15,1.0,long,low,42,M3 Base,2,12.0,0.008717060089111328,0.013754844665527344,6,6,135,327
15,1.0,long,low,42,M3 Opt,2,12.0,0.008239030838012695,0.013303041458129883,6,6,135,343
15,1.0,long,low,43,M3 Base,2,12.0,0.006189823150634766,0.011001110076904297,6,6,135,310
15,1.0,long,low,43,M3 Opt,2,12.0,0.007558107376098633,0.012612104415893555,6,6,135,326
15,1.0,long,low,44,M3 Base,2,12.0,0.0049021244049072266,0.009755849838256836,6,6,135,318
15,1.0,long,low,44,M3 Opt,2,12.0,0.004739046096801758,0.009660005569458008,6,6,135,334
