n,model,mean_runtime,median_runtime,min_runtime,max_runtime,mean_num_vars,mean_num_constrs,optimal_count,timelimit_count,other_status_count,num_runs
3,M2 Base,0.000842881202697754,0.0008019208908081055,0.00034308433532714844,0.0016510486602783203,18.6,30,40,0,0,40
3,M2 Opt,0.00022168755531311036,0.00020647048950195312,0.00016188621520996094,0.0005948543548583984,13.8,24,40,0,0,40
5,M2 Base,0.005408042669296264,0.003569960594177246,0.0007719993591308594,0.014460086822509766,47,80,40,0,0,40
5,M2 Opt,0.0006019473075866699,0.0006070137023925781,0.0002219676971435547,0.001049041748046875,31.6,49.8,40,0,0,40
7,M2 Base,0.01964225769042969,0.0220794677734375,0.003340005874633789,0.03514289855957031,93.8,154,40,0,0,40
7,M2 Opt,0.0011055350303649902,0.0010230541229248047,0.0006518363952636719,0.0018541812896728516,58,84.2,40,0,0,40
