n,model,mean_runtime,median_runtime,min_runtime,max_runtime,mean_num_vars,mean_num_constrs,optimal_count,timelimit_count,other_status_count,num_runs
10,M3 Base,0.002592730522155762,0.0021300315856933594,0.0005278587341308594,0.014410018920898438,55.875,119.05,40,0,0,40
10,M3 Opt,0.003417479991912842,0.003043055534362793,0.0008208751678466797,0.011805057525634766,55.875,130.05,40,0,0,40
12,M3 Base,0.003756684064865112,0.0034406185150146484,0.0009031295776367188,0.014669179916381836,76.25,166.25,40,0,0,40
12,M3 Opt,0.0040747284889221195,0.003472447395324707,0.0010340213775634766,0.02727985382080078,76.25,179.25,40,0,0,40
15,M3 Base,0.033143407106399535,0.006162405014038086,0.0018970966339111328,0.28205299377441406,114.45,260.175,40,0,0,40
15,M3 Opt,0.009898501634597778,0.00551152229309082,0.002629995346069336,0.13943195343017578,114.45,276.175,40,0,0,40
17,M3 Base,0.026263719797134398,0.009591460227966309,0.0013980865478515625,0.20525789260864258,143.175,330.75,40,0,0,40
17,M3 Opt,0.015956974029541014,0.007847905158996582,0.0026221275329589844,0.19444799423217773,143.175,348.75,40,0,0,40
