n,s_factor,duration,size,seed,model,status,objective,runtime,wall_time,servers,fireups,num_vars,num_constrs
25,1.0,long,high,43,M1 Base,2,32.0,0.32044100761413574,0.3923821449279785,16,"[(0, 24), (1, 23), (3, 22), (4, 21), (8, 19), (8, 20), (10, 18), (11, 17), (12, 16), (15, 15), (17, 14), (18, 13), (19, 10), (19, 11), (19, 12), (24, 9)]",1925,3675
25,1.0,long,high,43,M1 Opt,2,32.0,0.10714292526245117,0.12999296188354492,16,16,1011,1968
25,1.0,long,high,44,M1 Base,2,28.0,1.1726219654083252,1.2234840393066406,14,"[(0, 24), (1, 23), (2, 22), (3, 21), (5, 20), (6, 19), (8, 18), (9, 17), (13, 16), (15, 15), (16, 14), (18, 13), (21, 12), (22, 11)]",2000,3800
25,1.0,long,high,44,M1 Opt,2,28.0,0.23722410202026367,0.2727539539337158,14,14,1106,2173
25,1.0,long,high,45,M1 Base,2,26.0,0.7946078777313232,0.8522560596466064,13,"[(0, 12), (2, 22), (4, 0), (5, 3), (8, 10), (9, 7), (9, 21), (10, 17), (13, 16), (15, 20), (19, 2), (22, 24), (23, 19)]",1975,3775
25,1.0,long,high,45,M1 Opt,2,26.0,0.18694019317626953,0.22032427787780762,13,13,1028,2025
25,1.0,long,high,46,M1 Base,2,22.0,0.8012189865112305,0.8514397144317627,11,"[(0, 0), (0, 18), (2, 1), (2, 5), (2, 7), (4, 17), (9, 24), (14, 20), (18, 23), (22, 12), (22, 22)]",1725,3225
25,1.0,long,high,46,M1 Opt,2,22.0,0.11398005485534668,0.14362692832946777,11,11,931,1816
25,1.2,short,low,42,M1 Base,2,14.0,2.3516829013824463,2.406018018722534,7,"[(0, 24), (4, 23), (7, 22), (8, 21), (13, 20), (17, 19), (25, 18)]",1925,3475
25,1.2,short,low,42,M1 Opt,2,14.0,0.10132217407226562,0.12913203239440918,7,7,1092,2085
25,1.2,short,low,43,M1 Base,2,14.0,101.33558416366577,101.38156008720398,7,"[(0, 24), (1, 23), (4, 22), (9, 21), (11, 20), (19, 19), (27, 18)]",1825,3325
25,1.2,short,low,43,M1 Opt,2,14.0,0.42424798011779785,0.4624919891357422,7,7,1052,2027
25,1.2,short,low,44,M1 Base,2,16.0,3.605170965194702,3.6773440837860107,8,"[(0, 0), (1, 19), (2, 14), (3, 6), (4, 17), (9, 18), (10, 5), (16, 21)]",1925,3525
25,1.2,short,low,44,M1 Opt,2,16.0,0.14174509048461914,0.1807420253753662,8,8,1092,2099
25,1.2,short,low,45,M1 Base,2,12.0,1.2332301139831543,1.2857389450073242,6,"[(4, 0), (5, 12), (8, 7), (9, 24), (11, 1), (11, 15)]",1775,3175
25,1.2,short,low,45,M1 Opt,2,12.0,0.21173381805419922,0.24364995956420898,6,6,959,1810
25,1.2,short,low,46,M1 Base,2,16.0,4.5650670528411865,4.6256842613220215,8,"[(1, 0), (2, 8), (3, 1), (3, 24), (4, 20), (10, 23), (16, 12), (16, 13)]",1875,3475
25,1.2,short,low,46,M1 Opt,2,16.0,0.495898962020874,0.5343480110168457,8,8,1031,1998
25,1.2,short,high,42,M1 Base,2,20.0,3.215467929840088,3.369468927383423,10,"[(0, 5), (0, 9), (3, 22), (4, 3), (6, 12), (7, 0), (10, 16), (13, 7), (14, 18), (21, 24)]",1925,3475
25,1.2,short,high,42,M1 Opt,2,20.0,0.7372770309448242,0.7708327770233154,10,10,1092,2085
25,1.2,short,high,43,M1 Base,2,22.0,1.0234689712524414,1.091911792755127,11,"[(0, 24), (1, 22), (1, 23), (5, 21), (10, 20), (11, 19), (14, 18), (18, 17), (19, 16), (27, 15), (29, 14)]",1825,3325
25,1.2,short,high,43,M1 Opt,2,22.0,0.16364717483520508,0.20095205307006836,11,11,1052,2027
25,1.2,short,high,44,M1 Base,2,26.0,9.403049945831299,9.461294174194336,13,"[(0, 21), (1, 24), (2, 7), (3, 4), (4, 5), (4, 13), (5, 9), (9, 1), (13, 15), (14, 19), (14, 20), (16, 0), (18, 6)]",1850,3350
25,1.2,short,high,44,M1 Opt,2,26.0,0.3587508201599121,0.39620280265808105,13,13,1042,1983
25,1.2,short,high,45,M1 Base,2,16.0,1.1057558059692383,1.1641998291015625,8,"[(4, 24), (5, 23), (8, 22), (10, 21), (11, 20), (15, 19), (17, 18), (18, 17)]",1775,3175
25,1.2,short,high,45,M1 Opt,2,16.0,0.14912796020507812,0.1781167984008789,8,8,959,1810
25,1.2,short,high,46,M1 Base,2,24.0,1.5448269844055176,1.6000218391418457,12,"[(1, 24), (2, 17), (3, 0), (3, 18), (4, 22), (4, 23), (5, 9), (11, 11), (16, 7), (16, 16), (22, 8), (23, 13)]",1875,3475
25,1.2,short,high,46,M1 Opt,2,24.0,0.3044869899749756,0.33717775344848633,12,12,1031,1998
25,1.2,long,low,42,M1 Base,2,18.0,5.529304027557373,5.604625940322876,9,"[(0, 0), (0, 5), (3, 9), (4, 14), (7, 10), (7, 23), (9, 12), (13, 22), (21, 1)]",2175,4175
25,1.2,long,low,42,M1 Opt,2,18.0,1.8734798431396484,1.9202649593353271,9,9,1228,2429
25,1.2,long,low,43,M1 Base,2,18.0,2.900394916534424,2.981964111328125,9,"[(0, 0), (1, 10), (1, 17), (4, 1), (4, 12), (5, 9), (16, 22), (18, 15), (27, 24)]",1875,3575
25,1.2,long,low,43,M1 Opt,2,18.0,0.24708890914916992,0.2771730422973633,9,9,1051,2082
25,1.2,long,low,44,M1 Base,2,20.0,2.2886128425598145,2.362445116043091,10,"[(0, 24), (1, 16), (1, 23), (3, 22), (4, 17), (9, 20), (14, 12), (15, 0), (16, 18), (22, 15)]",2125,4075
25,1.2,long,low,44,M1 Opt,2,20.0,0.2821500301361084,0.3258509635925293,10,10,1164,2297
25,1.2,long,low,45,M1 Base,2,18.0,13.325674057006836,13.398648977279663,9,"[(2, 0), (5, 15), (8, 22), (9, 17), (9, 18), (11, 23), (13, 8), (17, 2), (19, 1)]",2025,3925
25,1.2,long,low,45,M1 Opt,2,18.0,1.368028163909912,1.4097959995269775,9,9,1088,2167
25,1.2,long,low,46,M1 Base,2,20.0,10.889408111572266,10.96540904045105,10,"[(1, 0), (2, 24), (3, 1), (3, 20), (4, 12), (10, 22), (16, 11), (22, 18), (23, 10), (26, 23)]",1900,3550
25,1.2,long,low,46,M1 Opt,2,20.0,0.37658190727233887,0.413161039352417,10,10,1029,1992
25,1.2,long,high,42,M1 Base,2,26.0,1.4073431491851807,1.493131160736084,13,"[(0, 6), (0, 22), (4, 17), (6, 20), (7, 0), (7, 23), (8, 24), (9, 11), (10, 16), (12, 21), (13, 18), (20, 14), (27, 3)]",2175,4175
25,1.2,long,high,42,M1 Opt,2,26.0,0.6685240268707275,0.7167072296142578,13,13,1228,2429
25,1.2,long,high,43,M1 Base,2,26.0,0.4607691764831543,0.5305769443511963,13,"[(0, 0), (1, 3), (1, 7), (4, 18), (4, 24), (5, 8), (5, 11), (9, 4), (16, 1), (16, 19), (25, 23), (27, 5), (27, 14)]",1875,3575
25,1.2,long,high,43,M1 Opt,2,26.0,0.09914708137512207,0.12282586097717285,13,13,1051,2082
25,1.2,long,high,44,M1 Base,2,28.0,1.9802489280700684,2.0367209911346436,14,"[(0, 21), (1, 22), (2, 1), (3, 4), (3, 6), (4, 9), (5, 0), (9, 14), (13, 24), (14, 23), (16, 5), (18, 13), (19, 2), (21, 18)]",2025,3875
25,1.2,long,high,44,M1 Opt,2,28.0,0.2627558708190918,0.30166101455688477,14,14,1121,2214
25,1.2,long,high,45,M1 Base,2,24.0,1.3864188194274902,1.4494597911834717,12,"[(2, 0), (5, 18), (8, 11), (8, 21), (10, 2), (11, 1), (11, 4), (15, 5), (15, 16), (19, 3), (21, 12), (27, 6)]",2025,3925
25,1.2,long,high,45,M1 Opt,2,24.0,0.24213504791259766,0.27845096588134766,12,12,1088,2167
25,1.2,long,high,46,M1 Base,2,28.0,1.3410530090332031,1.4006400108337402,14,"[(1, 0), (2, 7), (3, 17), (3, 24), (4, 18), (10, 13), (16, 14), (16, 16), (18, 20), (23, 4), (24, 1), (27, 23), (28, 15), (28, 19)]",1900,3550
