T_size,model,mean_n_jobs,median_n_jobs,mean_runtime,median_runtime,min_runtime,max_runtime,mean_num_vars,mean_num_constrs,optimal_count,timelimit_count,other_status_count,num_runs
3,M1 Opt,16.333333333333332,16,0.008036666446261935,0.006448030471801758,0.00249481201171875,0.026853084564208984,246.44444444444446,373.44444444444446,9,0,0,9
3,M2 Opt,16.333333333333332,16,0.005312522252400716,0.0052509307861328125,0.0024230480194091797,0.009991884231567383,198.77777777777777,501.3333333333333,9,0,0,9
3,M3 Opt,16.333333333333332,16,0.001758151584201389,0.0018007755279541016,0.0006010532379150391,0.004575967788696289,79.88888888888889,158,9,0,0,9
5,M1 Opt,19.444444444444443,20,0.043243196275499135,0.018560171127319336,0.005311012268066406,0.20649480819702148,389.3333333333333,604.3333333333334,9,0,0,9
5,M2 Opt,19.444444444444443,20,0.02620251973470052,0.013287782669067383,0.0020380020141601562,0.08876299858093262,300.77777777777777,694,9,0,0,9
5,M3 Opt,19.444444444444443,20,0.017029974195692275,0.011165857315063477,0.0008530616760253906,0.053987979888916016,144.22222222222223,307,9,0,0,9
6,M1 Opt,21.22222222222222,22,0.024084753460354276,0.017802953720092773,0.00616908073425293,0.056038856506347656,475.8888888888889,741.5555555555555,9,0,0,9
6,M2 Opt,21.22222222222222,22,0.02521167861090766,0.01446986198425293,0.003537893295288086,0.062391042709350586,363.77777777777777,817.6666666666666,9,0,0,9
6,M3 Opt,21.22222222222222,22,0.006990962558322483,0.0033838748931884766,0.0015058517456054688,0.020061016082763672,130.66666666666666,285.3333333333333,9,0,0,9
