n,model,mean_runtime,median_runtime,min_runtime,max_runtime,mean_num_vars,mean_num_constrs,optimal_count,timelimit_count,other_status_count,num_runs
3,M3 Base,0.00020185708999633789,0.00017893314361572266,0.00013494491577148438,0.00034499168395996094,8.2,12.2,40,0,0,40
3,M3 Opt,0.0001890420913696289,0.0001804828643798828,0.00013399124145507812,0.00034308433532714844,8.2,16.2,40,0,0,40
5,M3 Base,0.00046942830085754393,0.0003960132598876953,0.00015592575073242188,0.0009810924530029297,18.35,33.45,40,0,0,40
5,M3 Opt,0.00042967796325683595,0.0003930330276489258,0.00014710426330566406,0.0010709762573242188,18.35,39.45,40,0,0,40
7,M3 Base,0.00070304274559021,0.0005155801773071289,0.00022482872009277344,0.002833127975463867,31.05,62.7,40,0,0,40
7,M3 Opt,0.0009700357913970947,0.0011010169982910156,0.00021696090698242188,0.001964092254638672,31.05,70.7,40,0,0,40
