n,s_factor,duration,size,model,mean_runtime,mean_num_vars,mean_num_constrs,optimal_count,timelimit_count,other_status_count,num_instances
3,1.0,short,low,M3 Base,0.0002274036407470703,9,14.6,5,0,0,5
3,1.0,short,low,M3 Opt,0.00020956993103027344,9,18.6,5,0,0,5
3,1.0,short,high,M3 Base,0.0001804351806640625,7.4,9.8,5,0,0,5
3,1.0,short,high,M3 Opt,0.0002056121826171875,7.4,13.8,5,0,0,5
3,1.0,long,low,M3 Base,0.00022754669189453124,9,14.6,5,0,0,5
3,1.0,long,low,M3 Opt,0.000197601318359375,9,18.6,5,0,0,5
3,1.0,long,high,M3 Base,0.00016260147094726562,7.4,9.8,5,0,0,5
3,1.0,long,high,M3 Opt,0.00015883445739746095,7.4,13.8,5,0,0,5
3,1.2,short,low,M3 Base,0.0001865386962890625,9,14.6,5,0,0,5
3,1.2,short,low,M3 Opt,0.00017924308776855468,9,18.6,5,0,0,5
3,1.2,short,high,M3 Base,0.00015773773193359376,7.4,9.8,5,0,0,5
3,1.2,short,high,M3 Opt,0.0001556396484375,7.4,13.8,5,0,0,5
3,1.2,long,low,M3 Base,0.00020999908447265624,9,14.6,5,0,0,5
3,1.2,long,low,M3 Opt,0.000189971923828125,9,18.6,5,0,0,5
3,1.2,long,high,M3 Base,0.00026259422302246096,7.4,9.8,5,0,0,5
3,1.2,long,high,M3 Opt,0.00021586418151855468,7.4,13.8,5,0,0,5
5,1.0,short,low,M3 Base,0.00048437118530273435,20,38.2,5,0,0,5
5,1.0,short,low,M3 Opt,0.00047554969787597654,20,44.2,5,0,0,5
5,1.0,short,high,M3 Base,0.00047163963317871095,16.8,29,5,0,0,5
5,1.0,short,high,M3 Opt,0.0004034519195556641,16.8,35,5,0,0,5
5,1.0,long,low,M3 Base,0.0004642486572265625,20,38.2,5,0,0,5
5,1.0,long,low,M3 Opt,0.00042614936828613283,20,44.2,5,0,0,5
5,1.0,long,high,M3 Base,0.0005154132843017579,16.8,29,5,0,0,5
5,1.0,long,high,M3 Opt,0.0004120349884033203,16.8,35,5,0,0,5
5,1.2,short,low,M3 Base,0.0003757476806640625,20,38.2,5,0,0,5
5,1.2,short,low,M3 Opt,0.00039801597595214846,20,44.2,5,0,0,5
5,1.2,short,high,M3 Base,0.000514984130859375,16.6,28.4,5,0,0,5
5,1.2,short,high,M3 Opt,0.00041379928588867185,16.6,34.4,5,0,0,5
5,1.2,long,low,M3 Base,0.000420379638671875,20,38.2,5,0,0,5
5,1.2,long,low,M3 Opt,0.00043702125549316406,20,44.2,5,0,0,5
5,1.2,long,high,M3 Base,0.0005086421966552735,16.6,28.4,5,0,0,5
5,1.2,long,high,M3 Opt,0.0004714012145996094,16.6,34.4,5,0,0,5
7,1.0,short,low,M3 Base,0.0006458282470703125,35,73.4,5,0,0,5
7,1.0,short,low,M3 Opt,0.0013753890991210938,35,81.4,5,0,0,5
7,1.0,short,high,M3 Base,0.00046176910400390624,27.6,53.2,5,0,0,5
7,1.0,short,high,M3 Opt,0.0006814002990722656,27.6,61.2,5,0,0,5
7,1.0,long,low,M3 Base,0.0007284641265869141,35,73.4,5,0,0,5
7,1.0,long,low,M3 Opt,0.0012786388397216797,35,81.4,5,0,0,5
7,1.0,long,high,M3 Base,0.0004676342010498047,27.6,53.2,5,0,0,5
7,1.0,long,high,M3 Opt,0.0006596565246582032,27.6,61.2,5,0,0,5
7,1.2,short,low,M3 Base,0.0015634059906005859,35,73.8,5,0,0,5
7,1.2,short,low,M3 Opt,0.0015812397003173828,35,81.8,5,0,0,5
7,1.2,short,high,M3 Base,0.0003804206848144531,26.6,50.4,5,0,0,5
7,1.2,short,high,M3 Opt,0.0004856109619140625,26.6,58.4,5,0,0,5
7,1.2,long,low,M3 Base,0.0010129928588867188,35,73.8,5,0,0,5
7,1.2,long,low,M3 Opt,0.0012437820434570313,35,81.8,5,0,0,5
7,1.2,long,high,M3 Base,0.0003638267517089844,26.6,50.4,5,0,0,5
7,1.2,long,high,M3 Opt,0.00045456886291503904,26.6,58.4,5,0,0,5
