n,s_factor,duration,size,seed,model,status,objective,runtime,wall_time,servers,fireups
5,1.0,long,high,46,M2 optimized,2,6.0,0.0002570152282714844,0.0008330345153808594,,3
5,1.0,long,high,46,M3 optimized,2,6.0,0.0003859996795654297,0.0007290840148925781,,3
5,1.2,short,low,42,M1 optimized,2,4.0,0.0017118453979492188,0.004318952560424805,,2
5,1.2,short,low,42,M2 optimized,2,4.0,0.000576019287109375,0.00115203857421875,,2
5,1.2,short,low,42,M3 optimized,2,4.0,0.0007300376892089844,0.0012161731719970703,,2
5,1.2,short,low,43,M1 optimized,2,6.0,0.001986980438232422,0.0032949447631835938,,3
5,1.2,short,low,43,M2 optimized,2,6.0,0.0006909370422363281,0.0012352466583251953,,3
5,1.2,short,low,43,M3 optimized,2,6.0,0.00041484832763671875,0.0009000301361083984,,3
5,1.2,short,low,44,M1 optimized,2,4.0,0.001667022705078125,0.002707242965698242,,2
5,1.2,short,low,44,M2 optimized,2,4.0,0.0004909038543701172,0.0010018348693847656,,2
5,1.2,short,low,44,M3 optimized,2,4.0,0.0004200935363769531,0.0008552074432373047,,2
5,1.2,short,low,45,M1 optimized,2,4.0,0.0016350746154785156,0.0025069713592529297,,2
5,1.2,short,low,45,M2 optimized,2,4.0,0.0004980564117431641,0.0009620189666748047,,2
5,1.2,short,low,45,M3 optimized,2,4.0,0.0003991127014160156,0.0008037090301513672,,2
5,1.2,short,low,46,M1 optimized,2,4.0,0.0022521018981933594,0.0031621456146240234,,2
5,1.2,short,low,46,M2 optimized,2,4.0,0.0005819797515869141,0.00113677978515625,,2
5,1.2,short,low,46,M3 optimized,2,4.0,0.0004150867462158203,0.0008661746978759766,,2
5,1.2,short,high,42,M1 optimized,2,4.0,0.0007090568542480469,0.0019047260284423828,,2
5,1.2,short,high,42,M2 optimized,2,4.0,0.0003578662872314453,0.0009441375732421875,,2
5,1.2,short,high,42,M3 optimized,2,4.0,0.0008869171142578125,0.0012791156768798828,,2
5,1.2,short,high,43,M1 optimized,2,10.0,0.0009319782257080078,0.002065896987915039,,5
5,1.2,short,high,43,M2 optimized,2,10.0,0.0002601146697998047,0.0008358955383300781,,5
5,1.2,short,high,43,M3 optimized,2,10.0,0.00015687942504882812,0.00036215782165527344,,5
5,1.2,short,high,44,M1 optimized,2,6.0,0.0028600692749023438,0.0039479732513427734,,3
5,1.2,short,high,44,M2 optimized,2,6.0,0.0010581016540527344,0.0016188621520996094,,3
5,1.2,short,high,44,M3 optimized,2,6.0,0.0004379749298095703,0.0009000301361083984,,3
5,1.2,short,high,45,M1 optimized,2,6.0,0.0012819766998291016,0.0026040077209472656,,3
5,1.2,short,high,45,M2 optimized,2,6.0,0.0006358623504638672,0.0011551380157470703,,3
5,1.2,short,high,45,M3 optimized,2,6.0,0.00039005279541015625,0.0008068084716796875,,3
5,1.2,short,high,46,M1 optimized,2,6.0,0.0005238056182861328,0.0013840198516845703,,3
5,1.2,short,high,46,M2 optimized,2,6.0,0.0002429485321044922,0.0006928443908691406,,3
5,1.2,short,high,46,M3 optimized,2,6.0,0.0003199577331542969,0.0006458759307861328,,3
5,1.2,long,low,42,M1 optimized,2,4.0,0.0014472007751464844,0.0024111270904541016,,2
5,1.2,long,low,42,M2 optimized,2,4.0,0.0005240440368652344,0.001013040542602539,,2
5,1.2,long,low,42,M3 optimized,2,4.0,0.00040411949157714844,0.0008001327514648438,,2
5,1.2,long,low,43,M1 optimized,2,6.0,0.0017859935760498047,0.002819061279296875,,3
5,1.2,long,low,43,M2 optimized,2,6.0,0.0008859634399414062,0.0014767646789550781,,3
5,1.2,long,low,43,M3 optimized,2,6.0,0.0009450912475585938,0.00177001953125,,3
5,1.2,long,low,44,M1 optimized,2,4.0,0.0021140575408935547,0.003293275833129883,,2
5,1.2,long,low,44,M2 optimized,2,4.0,0.0010380744934082031,0.0017778873443603516,,2
5,1.2,long,low,44,M3 optimized,2,4.0,0.0004899501800537109,0.0009920597076416016,,2
5,1.2,long,low,45,M1 optimized,2,4.0,0.003092050552368164,0.0039942264556884766,,2
5,1.2,long,low,45,M2 optimized,2,4.0,0.0005412101745605469,0.001074075698852539,,2
5,1.2,long,low,45,M3 optimized,2,4.0,0.0004031658172607422,0.0008339881896972656,,2
5,1.2,long,low,46,M1 optimized,2,4.0,0.0024149417877197266,0.003350973129272461,,2
5,1.2,long,low,46,M2 optimized,2,4.0,0.0005679130554199219,0.0011470317840576172,,2
5,1.2,long,low,46,M3 optimized,2,4.0,0.0004031658172607422,0.0008308887481689453,,2
5,1.2,long,high,42,M1 optimized,2,4.0,0.0005619525909423828,0.0014998912811279297,,2
5,1.2,long,high,42,M2 optimized,2,4.0,0.0003139972686767578,0.0008029937744140625,,2
5,1.2,long,high,42,M3 optimized,2,4.0,0.0005691051483154297,0.0009291172027587891,,2
5,1.2,long,high,43,M1 optimized,2,10.0,0.00028705596923828125,0.0013060569763183594,,5
5,1.2,long,high,43,M2 optimized,2,10.0,0.0002009868621826172,0.0006730556488037109,,5
5,1.2,long,high,43,M3 optimized,2,10.0,0.00014495849609375,0.000335693359375,,5
5,1.2,long,high,44,M1 optimized,2,6.0,0.0014030933380126953,0.002568960189819336,,3
5,1.2,long,high,44,M2 optimized,2,6.0,0.0007090568542480469,0.0012269020080566406,,3
5,1.2,long,high,44,M3 optimized,2,6.0,0.00038814544677734375,0.0008063316345214844,,3
5,1.2,long,high,45,M1 optimized,2,6.0,0.001971006393432617,0.0028450489044189453,,3
5,1.2,long,high,45,M2 optimized,2,6.0,0.0011990070343017578,0.0018100738525390625,,3
5,1.2,long,high,45,M3 optimized,2,6.0,0.00043702125549316406,0.0009281635284423828,,3
5,1.2,long,high,46,M1 optimized,2,6.0,0.0006439685821533203,0.0016360282897949219,,3
5,1.2,long,high,46,M2 optimized,2,6.0,0.00026988983154296875,0.00084686279296875,,3
5,1.2,long,high,46,M3 optimized,2,6.0,0.00037217140197753906,0.0007100105285644531,,3
10,1.0,short,low,42,M1 optimized,2,8.0,0.009387969970703125,0.01337289810180664,,4
10,1.0,short,low,42,M2 optimized,2,8.0,0.0017359256744384766,0.0032219886779785156,,4
10,1.0,short,low,42,M3 optimized,2,8.0,0.0015149116516113281,0.0028328895568847656,,4
10,1.0,short,low,43,M1 optimized,2,10.0,0.015239953994750977,0.018383026123046875,,5
10,1.0,short,low,43,M2 optimized,2,10.0,0.004871845245361328,0.006345987319946289,,5
10,1.0,short,low,43,M3 optimized,2,10.0,0.0012388229370117188,0.0026459693908691406,,5
10,1.0,short,low,44,M1 optimized,2,8.0,0.005738973617553711,0.008967161178588867,,4
10,1.0,short,low,44,M2 optimized,2,8.0,0.0013899803161621094,0.0027511119842529297,,4
10,1.0,short,low,44,M3 optimized,2,8.0,0.0014510154724121094,0.002908945083618164,,4
10,1.0,short,low,45,M1 optimized,2,8.0,0.024322032928466797,0.027695178985595703,,4
10,1.0,short,low,45,M2 optimized,2,8.0,0.004083156585693359,0.005546092987060547,,4
