n,s_factor,duration,size,model,mean_runtime,optimal_count,timelimit_count,num_instances
20,1.2,short,low,M2 optimized,0.4089493751525879,5,0,5
20,1.2,short,low,M3 optimized,0.03311200141906738,5,0,5
20,1.2,short,high,M1 optimized,0.1361635684967041,5,0,5
20,1.2,short,high,M2 optimized,0.048069429397583005,5,0,5
20,1.2,short,high,M3 optimized,0.03592381477355957,5,0,5
20,1.2,long,low,M1 optimized,0.6886606693267823,5,0,5
20,1.2,long,low,M2 optimized,0.10963959693908691,5,0,5
20,1.2,long,low,M3 optimized,0.024028730392456055,5,0,5
20,1.2,long,high,M1 optimized,0.28415117263793943,5,0,5
20,1.2,long,high,M2 optimized,0.04577994346618652,5,0,5
20,1.2,long,high,M3 optimized,0.008065176010131837,5,0,5
