n,model,mean_runtime,median_runtime,min_runtime,max_runtime,mean_num_vars,mean_num_constrs,optimal_count,timelimit_count,other_status_count,num_runs
3,M1 Base,0.0022675156593322753,0.001872420310974121,0.0004220008850097656,0.015710115432739258,34.2,65.4,40,0,0,40
3,M1 Opt,0.000360792875289917,0.00034999847412109375,0.00019121170043945312,0.0005970001220703125,24.6,51.2,40,0,0,40
5,M1 Base,0.007836312055587769,0.0031234025955200195,0.0012888908386230469,0.14427709579467773,87,167,40,0,0,40
5,M1 Opt,0.002187967300415039,0.001728057861328125,0.0003349781036376953,0.028744935989379883,57.4,118,40,0,0,40
7,M1 Base,0.009620827436447144,0.007422924041748047,0.005195140838623047,0.022732019424438477,177.1,343.7,40,0,0,40
7,M1 Opt,0.0029761731624603272,0.003142118453979492,0.0011260509490966797,0.004402875900268555,107.4,219.2,40,0,0,40
