n,s_factor,duration,size,seed,model,status,objective,runtime,wall_time,servers,fireups,num_vars,num_constrs
3,1.2,short,low,45,M1 Base,2,4.0,0.001628875732421875,0.0021533966064453125,2,"[(2, 1), (2, 2)]",27,51
3,1.2,short,low,45,M1 Opt,2,4.0,0.0003829002380371094,0.0009129047393798828,2,2,21,44
3,1.2,short,low,46,M1 Base,2,4.0,0.0024352073669433594,0.0030956268310546875,2,"[(0, 0), (1, 1)]",33,63
3,1.2,short,low,46,M1 Opt,2,4.0,0.00032782554626464844,0.0008270740509033203,2,2,23,48
3,1.2,short,high,42,M1 Base,2,6.0,0.0005459785461425781,0.0013020038604736328,3,"[(0, 2), (1, 1), (2, 0)]",39,75
3,1.2,short,high,42,M1 Opt,2,6.0,0.00032401084899902344,0.0009348392486572266,3,3,27,56
3,1.2,short,high,43,M1 Base,2,6.0,0.0007190704345703125,0.0014522075653076172,3,"[(0, 1), (0, 2), (1, 0)]",33,63
3,1.2,short,high,43,M1 Opt,2,6.0,0.0002911090850830078,0.0008819103240966797,3,3,25,52
3,1.2,short,high,44,M1 Base,2,4.0,0.0012848377227783203,0.0021948814392089844,2,"[(0, 2), (3, 1)]",39,75
3,1.2,short,high,44,M1 Opt,2,4.0,0.0003380775451660156,0.00086212158203125,2,2,27,56
3,1.2,short,high,45,M1 Base,2,4.0,0.003606081008911133,0.004126071929931641,2,"[(2, 1), (2, 2)]",27,51
3,1.2,short,high,45,M1 Opt,2,4.0,0.0004382133483886719,0.0010437965393066406,2,2,21,44
3,1.2,short,high,46,M1 Base,2,4.0,0.0007388591766357422,0.001371145248413086,2,"[(0, 0), (1, 2)]",33,63
3,1.2,short,high,46,M1 Opt,2,4.0,0.0002281665802001953,0.0006349086761474609,2,2,23,48
3,1.2,long,low,42,M1 Base,2,4.0,0.0021698474884033203,0.0028221607208251953,2,"[(0, 1), (2, 2)]",39,75
3,1.2,long,low,42,M1 Opt,2,4.0,0.00038504600524902344,0.0008890628814697266,2,2,27,56
3,1.2,long,low,43,M1 Base,2,4.0,0.0029859542846679688,0.0035851001739501953,2,"[(0, 0), (1, 2)]",33,63
3,1.2,long,low,43,M1 Opt,2,4.0,0.0004298686981201172,0.0009562969207763672,2,2,25,52
3,1.2,long,low,44,M1 Base,2,4.0,0.0016551017761230469,0.0022881031036376953,2,"[(0, 1), (3, 2)]",39,75
3,1.2,long,low,44,M1 Opt,2,4.0,0.0004901885986328125,0.00131988525390625,2,2,27,56
3,1.2,long,low,45,M1 Base,2,4.0,0.0017058849334716797,0.002251148223876953,2,"[(2, 1), (2, 2)]",27,51
3,1.2,long,low,45,M1 Opt,2,4.0,0.0002808570861816406,0.0007088184356689453,2,2,21,44
3,1.2,long,low,46,M1 Base,2,4.0,0.0023381710052490234,0.0029039382934570312,2,"[(0, 0), (1, 1)]",33,63
3,1.2,long,low,46,M1 Opt,2,4.0,0.0005538463592529297,0.0011661052703857422,2,2,23,48
3,1.2,long,high,42,M1 Base,2,6.0,0.0007388591766357422,0.0016489028930664062,3,"[(0, 2), (1, 1), (2, 0)]",39,75
3,1.2,long,high,42,M1 Opt,2,6.0,0.00021886825561523438,0.0007500648498535156,3,3,27,56
3,1.2,long,high,43,M1 Base,2,6.0,0.00043392181396484375,0.0009641647338867188,3,"[(0, 1), (0, 2), (1, 0)]",33,63
3,1.2,long,high,43,M1 Opt,2,6.0,0.00019598007202148438,0.0006220340728759766,3,3,25,52
3,1.2,long,high,44,M1 Base,2,4.0,0.0013020038604736328,0.001928091049194336,2,"[(0, 2), (3, 1)]",39,75
3,1.2,long,high,44,M1 Opt,2,4.0,0.0003650188446044922,0.0012290477752685547,2,2,27,56
