T_size,class,model,mean_n_jobs,mean_runtime,mean_num_vars,mean_num_constrs,optimal_count,timelimit_count,other_status_count,num_instances
3,I,M2 Base,11,0.0064576466878255205,154,374,3,0,0,3
3,I,M2 Opt,11,0.0022637049357096353,98,230,3,0,0,3
3,II,M2 Base,16.333333333333332,0.03312865893046061,316,817.3333333333334,3,0,0,3
3,II,M2 Opt,16.333333333333332,0.004659334818522136,189.33333333333334,473,3,0,0,3
3,III,M2 Base,21.666666666666668,0.1210952599843343,534.6666666666666,1430.6666666666667,3,0,0,3
3,III,M2 Opt,21.666666666666668,0.008110682169596354,309,801,3,0,0,3
5,I,M2 Base,13,0.018876075744628906,234,520,3,0,0,3
5,I,M2 Opt,13,0.0045515696207682295,150,311,3,0,0,3
5,II,M2 Base,19.666666666666668,0.5181628863016764,485.3333333333333,1180.6666666666667,3,0,0,3
5,II,M2 Opt,19.666666666666668,0.012394905090332031,293,668,3,0,0,3
5,III,M2 Base,25.666666666666668,5.400962670644124,787.3333333333334,2002.6666666666667,3,0,0,3
5,III,M2 Opt,25.666666666666668,0.06095099449157715,459.3333333333333,1103,3,0,0,3
6,I,M2 Base,14,0.04938999811808268,280,602,3,0,0,3
6,I,M2 Opt,14,0.0074299971262613935,179,356,3,0,0,3
6,II,M2 Base,22,0.09354289372762044,616.6666666666666,1476,3,0,0,3
6,II,M2 Opt,22,0.015845060348510742,368.3333333333333,825,3,0,0,3
6,III,M2 Base,27.666666666666668,3.5623679955800376,931.6666666666666,2324.6666666666665,3,0,0,3
6,III,M2 Opt,27.666666666666668,0.05843671162923177,544,1272,3,0,0,3
