n,model,mean_runtime,median_runtime,min_runtime,max_runtime,mean_num_vars,mean_num_constrs,optimal_count,timelimit_count,other_status_count,num_runs
10,M1 Base,0.05570922493934631,0.037485480308532715,0.012475013732910156,0.16876506805419922,330.5,634.5,40,0,0,40
10,M1 Opt,0.008102881908416747,0.006726980209350586,0.003214120864868164,0.02522587776184082,193.875,390.925,40,0,0,40
12,M1 Base,0.13034167289733886,0.1028670072555542,0.024324893951416016,0.3620431423187256,471.3,908.7,40,0,0,40
12,M1 Opt,0.01834263801574707,0.01385200023651123,0.005259990692138672,0.04481387138366699,268.75,540.85,40,0,0,40
15,M1 Base,0.7493412792682648,0.27572202682495117,0.08905506134033203,7.0569679737091064,727.5,1393.5,40,0,0,40
15,M1 Opt,0.0551967442035675,0.03527247905731201,0.013106107711791992,0.4170689582824707,407.45,813.55,40,0,0,40
17,M1 Base,28.2671515583992,0.8897234201431274,0.19629192352294922,900.0108590126038,924.8,1766.3,39,1,0,40
17,M1 Opt,0.1553957760334015,0.08558440208435059,0.035105228424072266,1.9137060642242432,514.025,1022.575,40,0,0,40
