n,s_factor,duration,size,model,mean_runtime,mean_num_vars,mean_num_constrs,optimal_count,timelimit_count,other_status_count,num_instances
3,1.0,short,low,M1 Base,0.005888462066650391,34.2,65.4,5,0,0,5
3,1.0,short,low,M1 Opt,0.0004169940948486328,24.6,51.2,5,0,0,5
3,1.0,short,high,M1 Base,0.0010226249694824218,34.2,65.4,5,0,0,5
3,1.0,short,high,M1 Opt,0.00026760101318359377,24.6,51.2,5,0,0,5
3,1.0,long,low,M1 Base,0.003177976608276367,34.2,65.4,5,0,0,5
3,1.0,long,low,M1 Opt,0.00047235488891601564,24.6,51.2,5,0,0,5
3,1.0,long,high,M1 Base,0.0014115333557128905,34.2,65.4,5,0,0,5
3,1.0,long,high,M1 Opt,0.0003239631652832031,24.6,51.2,5,0,0,5
3,1.2,short,low,M1 Base,0.00204319953918457,34.2,65.4,5,0,0,5
3,1.2,short,low,M1 Opt,0.0003883838653564453,24.6,51.2,5,0,0,5
3,1.2,short,high,M1 Base,0.0013789653778076172,34.2,65.4,5,0,0,5
3,1.2,short,high,M1 Opt,0.0003239154815673828,24.6,51.2,5,0,0,5
3,1.2,long,low,M1 Base,0.0021709918975830076,34.2,65.4,5,0,0,5
3,1.2,long,low,M1 Opt,0.0004279613494873047,24.6,51.2,5,0,0,5
3,1.2,long,high,M1 Base,0.0010463714599609375,34.2,65.4,5,0,0,5
3,1.2,long,high,M1 Opt,0.0002651691436767578,24.6,51.2,5,0,0,5
5,1.0,short,low,M1 Base,0.004273366928100586,87,167,5,0,0,5
5,1.0,short,low,M1 Opt,0.001874685287475586,57.4,118,5,0,0,5
5,1.0,short,high,M1 Base,0.003855180740356445,87,167,5,0,0,5
5,1.0,short,high,M1 Opt,0.0010416507720947266,57.4,118,5,0,0,5
5,1.0,long,low,M1 Base,0.004149389266967773,87,167,5,0,0,5
5,1.0,long,low,M1 Opt,0.0020992279052734373,57.4,118,5,0,0,5
5,1.0,long,high,M1 Base,0.032881307601928714,87,167,5,0,0,5
5,1.0,long,high,M1 Opt,0.006570243835449218,57.4,118,5,0,0,5
5,1.2,short,low,M1 Base,0.0047992229461669925,87,167,5,0,0,5
5,1.2,short,low,M1 Opt,0.0020852088928222656,57.4,118,5,0,0,5
5,1.2,short,high,M1 Base,0.004311227798461914,87,167,5,0,0,5
5,1.2,short,high,M1 Opt,0.0009853839874267578,57.4,118,5,0,0,5
5,1.2,long,low,M1 Base,0.004101610183715821,87,167,5,0,0,5
5,1.2,long,low,M1 Opt,0.001891756057739258,57.4,118,5,0,0,5
5,1.2,long,high,M1 Base,0.004319190979003906,87,167,5,0,0,5
5,1.2,long,high,M1 Opt,0.0009555816650390625,57.4,118,5,0,0,5
7,1.0,short,low,M1 Base,0.009366989135742188,173.6,336,5,0,0,5
7,1.0,short,low,M1 Opt,0.00335540771484375,106.2,216.4,5,0,0,5
7,1.0,short,high,M1 Base,0.01427454948425293,173.6,336,5,0,0,5
7,1.0,short,high,M1 Opt,0.0028884410858154297,106.2,216.4,5,0,0,5
7,1.0,long,low,M1 Base,0.009943723678588867,176.4,344.4,5,0,0,5
7,1.0,long,low,M1 Opt,0.0035074710845947265,107.4,220,5,0,0,5
7,1.0,long,high,M1 Base,0.013086414337158203,176.4,344.4,5,0,0,5
7,1.0,long,high,M1 Opt,0.0030913352966308594,107.4,220,5,0,0,5
7,1.2,short,low,M1 Base,0.006872940063476563,177.8,343,5,0,0,5
7,1.2,short,low,M1 Opt,0.0030704498291015624,107.4,218.4,5,0,0,5
7,1.2,short,high,M1 Base,0.008224391937255859,177.8,343,5,0,0,5
7,1.2,short,high,M1 Opt,0.0023273944854736326,107.4,218.4,5,0,0,5
7,1.2,long,low,M1 Base,0.007156991958618164,180.6,351.4,5,0,0,5
7,1.2,long,low,M1 Opt,0.0032576560974121095,108.6,222,5,0,0,5
7,1.2,long,high,M1 Base,0.008040618896484376,180.6,351.4,5,0,0,5
7,1.2,long,high,M1 Opt,0.002311229705810547,108.6,222,5,0,0,5
