T_size,class,model,mean_n_jobs,mean_runtime,mean_num_vars,mean_num_constrs,optimal_count,timelimit_count,other_status_count,num_instances
5,I,M1 Opt,13,0.010677735010782877,209,352,3,0,0,3
5,I,M2 Opt,13,0.003705263137817383,150,311,3,0,0,3
5,I,M3 Opt,13,0.001340309778849284,63,135.33333333333334,3,0,0,3
5,II,M1 Opt,19.666666666666668,0.01810940106709798,382.6666666666667,600.3333333333334,3,0,0,3
5,II,M2 Opt,19.666666666666668,0.010776917139689127,293,668,3,0,0,3
5,II,M3 Opt,19.666666666666668,0.0173799991607666,117.66666666666667,251,3,0,0,3
5,III,M1 Opt,25.666666666666668,0.08098189036051433,576.3333333333334,860.6666666666666,3,0,0,3
5,III,M2 Opt,25.666666666666668,0.051564693450927734,459.3333333333333,1103,3,0,0,3
5,III,M3 Opt,25.666666666666668,0.022440274556477863,252,534.6666666666666,3,0,0,3
5,IV,M1 Opt,31.333333333333332,1.6251472632090251,794,1143,3,0,0,3
5,IV,M2 Opt,31.333333333333332,2.247647682825724,650.3333333333334,1613,3,0,0,3
5,IV,M3 Opt,31.333333333333332,0.04778901735941569,304,656,3,0,0,3
5,V,M1 Opt,38.333333333333336,0.12611770629882812,1104.6666666666667,1531,3,0,0,3
5,V,M2 Opt,38.333333333333336,0.1198893388112386,929.3333333333334,2376,3,0,0,3
5,V,M3 Opt,38.333333333333336,0.03655862808227539,385.6666666666667,819.3333333333334,3,0,0,3
5,VI,M1 Opt,51.333333333333336,0.7658869425455729,1776.6666666666667,2308.3333333333335,3,0,0,3
5,VI,M2 Opt,51.333333333333336,0.9543587366739908,1561.6666666666667,4193,3,0,0,3
5,VI,M3 Opt,51.333333333333336,0.11083730061848958,799,1670.3333333333333,3,0,0,3
5,VII,M1 Opt,38.333333333333336,0.1588000456492106,1103.3333333333333,1528.3333333333333,3,0,0,3
5,VII,M2 Opt,38.333333333333336,0.15398462613423666,928.6666666666666,2376,3,0,0,3
5,VII,M3 Opt,38.333333333333336,0.04324467976888021,420.6666666666667,889.6666666666666,3,0,0,3
5,VIII,M1 Opt,37.666666666666664,0.07045197486877441,1028,1405,3,0,0,3
5,VIII,M2 Opt,37.666666666666664,0.07202529907226562,876.6666666666666,2298,3,0,0,3
5,VIII,M3 Opt,37.666666666666664,0.27055033047993976,473,987.6666666666666,3,0,0,3
5,IX,M1 Opt,47.666666666666664,0.27227457364400226,1576.3333333333333,2084,3,0,0,3
5,IX,M2 Opt,47.666666666666664,0.27789902687072754,1369.6666666666667,3631,3,0,0,3
5,IX,M3 Opt,47.666666666666664,0.06610965728759766,632.6666666666666,1327,3,0,0,3
5,X,M1 Opt,43.666666666666664,0.142748753229777,1346,1813,3,0,0,3
5,X,M2 Opt,43.666666666666664,0.17477170626322427,1155.6666666666667,3072,3,0,0,3
5,X,M3 Opt,43.666666666666664,0.22898165384928384,499,1030,3,0,0,3
7,I,M1 Opt,15,0.015127023061116537,300,509,3,0,0,3
7,I,M2 Opt,15,0.00816202163696289,210,404,3,0,0,3
7,I,M3 Opt,15,0.002787987391153971,82,190.66666666666666,3,0,0,3
7,II,M1 Opt,23.666666666666668,0.025978644688924152,568.6666666666666,891.6666666666666,3,0,0,3
7,II,M2 Opt,23.666666666666668,0.023084322611490887,430.3333333333333,946,3,0,0,3
7,II,M3 Opt,23.666666666666668,0.00666499137878418,170.33333333333334,383,3,0,0,3
7,III,M1 Opt,29.333333333333332,0.05287702878316244,798.3333333333334,1209.3333333333333,3,0,0,3
7,III,M2 Opt,29.333333333333332,0.051608641942342125,621.6666666666666,1422,3,0,0,3
7,III,M3 Opt,29.333333333333332,0.013744990030924479,248.66666666666666,556.6666666666666,3,0,0,3
7,IV,M1 Opt,37,0.07567866643269856,1148.6666666666667,1667,3,0,0,3
7,IV,M2 Opt,37,0.07137028376261394,926,2220,3,0,0,3
7,IV,M3 Opt,37,0.020304282506306965,389.6666666666667,866,3,0,0,3
7,V,M1 Opt,44,1.631599982579549,1521.6666666666667,2140,3,0,0,3
7,V,M2 Opt,44,2.428281386693319,1256,3102,3,0,0,3
7,V,M3 Opt,44,0.10976966222127278,513,1122.3333333333333,3,0,0,3
7,VI,M1 Opt,64,0.7861990928649902,2781.6666666666665,3601.3333333333335,3,0,0,3
7,VI,M2 Opt,64,1.0623833338419597,2435.3333333333335,6458,3,0,0,3
7,VI,M3 Opt,64,0.5112480322519938,1393,2956,3,0,0,3
7,VII,M1 Opt,44,0.368424654006958,1522.3333333333333,2141.3333333333335,3,0,0,3
7,VII,M2 Opt,44,0.24910823504130045,1256.3333333333333,3102,3,0,0,3
7,VII,M3 Opt,44,0.07249967257181804,594,1301.3333333333333,3,0,0,3
7,VIII,M1 Opt,47.666666666666664,3.6454493204752603,1651,2249.3333333333335,3,0,0,3
7,VIII,M2 Opt,47.666666666666664,24.03041934967041,1399,3659,3,0,0,3
7,VIII,M3 Opt,47.666666666666664,1.167876402537028,662,1398.6666666666667,3,0,0,3
7,IX,M1 Opt,65.33333333333333,0.44946765899658203,2871.3333333333335,3712.3333333333335,3,0,0,3
7,IX,M2 Opt,65.33333333333333,1.1613446076711018,2515.6666666666665,6706,3,0,0,3
7,IX,M3 Opt,65.33333333333333,0.2897273699442546,1454,3069.3333333333335,3,0,0,3
7,X,M1 Opt,51.333333333333336,8.732511679331461,1810.3333333333333,2419.3333333333335,3,0,0,3
7,X,M2 Opt,51.333333333333336,4.593936363855998,1556.6666666666667,4183,3,0,0,3
7,X,M3 Opt,51.333333333333336,0.19911742210388184,699.6666666666666,1455,3,0,0,3
10,I,M1 Opt,18,0.02863033612569173,459,782,3,0,0,3
10,I,M2 Opt,18,0.019249995549519856,315,566,3,0,0,3
10,I,M3 Opt,18,0.007367928822835286,128,320.6666666666667,3,0,0,3
10,II,M1 Opt,28.666666666666668,0.07919271787007649,877,1384.6666666666667,3,0,0,3
10,II,M2 Opt,28.666666666666668,0.08524767557779948,651.3333333333334,1362,3,0,0,3
10,II,M3 Opt,28.666666666666668,0.01844199498494466,264.3333333333333,629.3333333333334,3,0,0,3
10,III,M1 Opt,34.666666666666664,0.2157719930013021,1181,1811.3333333333333,3,0,0,3
10,III,M2 Opt,34.666666666666664,0.09932804107666016,900,1960,3,0,0,3
10,III,M3 Opt,34.666666666666664,0.05210733413696289,427.6666666666667,1005.6666666666666,3,0,0,3
10,IV,M1 Opt,43,2.7174956798553467,1649.6666666666667,2437.3333333333335,3,0,0,3
10,IV,M2 Opt,43,2.6839776039123535,1298.3333333333333,2969,3,0,0,3
10,IV,M3 Opt,43,0.14622108141581217,557.6666666666666,1297.3333333333333,3,0,0,3
10,V,M1 Opt,50.666666666666664,0.9177049795786539,2138.6666666666665,3068.3333333333335,3,0,0,3
10,V,M2 Opt,50.666666666666664,1.091216007868449,1724,4079,3,0,0,3
10,V,M3 Opt,50.666666666666664,0.11621379852294922,744.3333333333334,1688,3,0,0,3
10,VI,M1 Opt,81,4.80083433787028,4472.666666666667,5778.333333333333,3,0,0,3
10,VI,M2 Opt,81,4.946333726247151,3900.3333333333335,10226,3,0,0,3
10,VI,M3 Opt,81,2.3075690269470215,2395.6666666666665,5125.666666666667,3,0,0,3
10,VII,M1 Opt,50.666666666666664,2.764915943145752,2133.6666666666665,3058,3,0,0,3
10,VII,M2 Opt,50.666666666666664,0.8442693551381429,1721.6666666666667,4080,3,0,0,3
10,VII,M3 Opt,50.666666666666664,0.18082197507222494,832.3333333333334,1894.6666666666667,3,0,0,3
