T_size,class,instance_id,seed,n_jobs,model,status,objective,runtime,wall_time,servers,fireups,num_vars,num_constrs
5,VI,2,505044,50,M3 Opt,2,42.0,0.04664897918701172,0.0606379508972168,21,21,683,1431
5,VII,0,506042,38,M1 Opt,2,40.0,0.16105413436889648,0.175062894821167,20,20,1089,1512
5,VII,0,506042,38,M2 Opt,2,40.0,0.12920379638671875,0.1542801856994629,20,20,915,2336
5,VII,0,506042,38,M3 Opt,2,40.0,0.012575149536132812,0.019342899322509766,20,20,340,700
5,VII,1,506043,39,M1 Opt,2,40.0,0.1339249610900879,0.16266775131225586,20,20,1134,1565
5,VII,1,506043,39,M2 Opt,2,40.0,0.11827301979064941,0.14412617683410645,20,20,957,2456
5,VII,1,506043,39,M3 Opt,2,40.0,0.03508400917053223,0.0435032844543457,20,20,411,878
5,VII,2,506044,38,M1 Opt,2,30.0,0.18142104148864746,0.19574928283691406,15,15,1087,1508
5,VII,2,506044,38,M2 Opt,2,30.0,0.2144770622253418,0.23874306678771973,15,15,914,2336
5,VII,2,506044,38,M3 Opt,2,30.0,0.08207488059997559,0.09282827377319336,15,15,511,1091
5,VIII,0,507042,37,M1 Opt,2,34.0,0.055763959884643555,0.06812620162963867,17,17,991,1358
5,VIII,0,507042,37,M2 Opt,2,34.0,0.03242993354797363,0.05487179756164551,17,17,844,2219
5,VIII,0,507042,37,M3 Opt,2,34.0,0.014945030212402344,0.0235598087310791,17,17,428,889
5,VIII,1,507043,37,M1 Opt,2,28.0,0.07688188552856445,0.08882713317871094,14,14,979,1332
5,VIII,1,507043,37,M2 Opt,2,28.0,0.10099601745605469,0.12415599822998047,14,14,839,2219
5,VIII,1,507043,37,M3 Opt,2,28.0,0.05585289001464844,0.06617999076843262,14,14,516,1072
5,VIII,2,507044,39,M1 Opt,2,34.0,0.07871007919311523,0.09280896186828613,17,17,1114,1525
5,VIII,2,507044,39,M2 Opt,2,34.0,0.08264994621276855,0.10885310173034668,17,17,947,2456
5,VIII,2,507044,39,M3 Opt,2,34.0,0.7408530712127686,0.7509770393371582,17,17,475,1002
