T_size,model,mean_n_jobs,median_n_jobs,min_n_jobs,max_n_jobs,mean_runtime,median_runtime,min_runtime,max_runtime,mean_num_vars,mean_num_constrs,optimal_count,timelimit_count,other_status_count,num_runs
3,M1 Base,16.333333333333332,16,11,22,0.021812995274861652,0.012147188186645508,0.004129886627197266,0.09171795845031738,383.8888888888889,481.8888888888889,9,0,0,9
3,M1 Opt,16.333333333333332,16,11,22,0.006470574273003472,0.005645036697387695,0.0022230148315429688,0.018125057220458984,246.44444444444446,373.44444444444446,9,0,0,9
5,M1 Base,19.444444444444443,20,13,26,0.09634966320461696,0.0597071647644043,0.009268999099731445,0.43938493728637695,599.4444444444445,793.8888888888889,9,0,0,9
5,M1 Opt,19.444444444444443,20,13,26,0.03815979427761502,0.015737056732177734,0.0049932003021240234,0.1712329387664795,389.3333333333333,604.3333333333334,9,0,0,9
6,M1 Base,21.22222222222222,22,14,28,0.08111932542588976,0.061593055725097656,0.013673067092895508,0.18938302993774414,736.7777777777778,991.4444444444445,9,0,0,9
6,M1 Opt,21.22222222222222,22,14,28,0.023444043265448675,0.019082069396972656,0.005913972854614258,0.049944162368774414,475.8888888888889,741.5555555555555,9,0,0,9
