T_size,class,instance_id,seed,n_jobs,model,status,objective,runtime,wall_time,servers,fireups,num_vars,num_constrs
3,I,0,300042,11,M1 Base,2,12.0,0.0065958499908447266,0.013606071472167969,6,"[(0, 0), (0, 1), (0, 2), (0, 3), (0, 4), (0, 10)]",187,253
3,I,0,300042,11,M1 Opt,2,12.0,0.004400968551635742,0.0062792301177978516,6,6,130,215
3,I,1,300043,11,M1 Base,2,12.0,0.004129886627197266,0.006421327590942383,6,"[(0, 0), (0, 1), (0, 2), (0, 4), (0, 7), (0, 9)]",187,253
3,I,1,300043,11,M1 Opt,2,12.0,0.0022230148315429688,0.004151821136474609,6,6,130,215
3,I,2,300044,11,M1 Base,2,12.0,0.005148887634277344,0.0073549747467041016,6,"[(0, 0), (0, 3), (0, 4), (0, 6), (0, 7), (0, 9)]",187,253
3,I,2,300044,11,M1 Opt,2,12.0,0.0022280216217041016,0.00400090217590332,6,6,130,215
3,II,0,301042,16,M1 Base,2,20.0,0.006989002227783203,0.011014938354492188,10,"[(0, 0), (0, 2), (0, 3), (0, 5), (0, 6), (0, 7), (0, 9), (0, 13), (0, 14), (0, 15)]",352,448
3,II,0,301042,16,M1 Opt,2,20.0,0.005970001220703125,0.008962631225585938,10,10,230,355
3,II,1,301043,16,M1 Base,2,22.0,0.012147188186645508,0.01609015464782715,11,"[(0, 0), (0, 2), (0, 4), (0, 5), (0, 6), (0, 8), (0, 10), (0, 11), (0, 12), (0, 13), (0, 15)]",352,448
3,II,1,301043,16,M1 Opt,2,22.0,0.004651069641113281,0.007543087005615234,11,11,230,355
3,II,2,301044,17,M1 Base,2,22.0,0.03584909439086914,0.04199504852294922,11,"[(0, 0), (0, 1), (0, 3), (0, 4), (0, 5), (0, 7), (0, 9), (0, 11), (0, 13), (0, 14), (0, 16)]",391,493
3,II,2,301044,17,M1 Opt,2,22.0,0.005645036697387695,0.00894021987915039,11,11,251,382
3,III,0,302042,21,M1 Base,2,24.0,0.09171795845031738,0.0985560417175293,12,"[(0, 0), (0, 1), (0, 4), (0, 6), (0, 9), (0, 10), (0, 11), (0, 12), (0, 16), (0, 19), (0, 20), (1, 7)]",567,693
3,III,0,302042,21,M1 Opt,2,24.0,0.018125057220458984,0.022630929946899414,12,12,355,520
3,III,1,302043,22,M1 Base,2,30.0,0.01749897003173828,0.024296045303344727,15,"[(0, 0), (0, 1), (0, 2), (0, 4), (0, 7), (0, 9), (0, 10), (0, 12), (0, 13), (0, 14), (0, 15), (0, 17), (0, 18), (0, 20), (0, 21)]",616,748
3,III,1,302043,22,M1 Opt,2,30.0,0.008304119110107422,0.012859821319580078,15,15,381,552
