n,model,mean_runtime,median_runtime,min_runtime,max_runtime,mean_num_vars,mean_num_constrs,optimal_count,timelimit_count,other_status_count,num_runs
3,M2 Base,0.00102006196975708,0.0009169578552246094,0.00035381317138671875,0.0029478073120117188,18.6,30,40,0,0,40
3,M2 Opt,0.00024791359901428224,0.00022649765014648438,0.0001609325408935547,0.0004489421844482422,13.8,24,40,0,0,40
5,M2 Base,0.010439884662628175,0.005457401275634766,0.0008068084716796875,0.06322693824768066,47,80,40,0,0,40
5,M2 Opt,0.0007080912590026855,0.0006865262985229492,0.00025391578674316406,0.0016379356384277344,31.6,49.8,40,0,0,40
7,M2 Base,0.03218260407447815,0.03290998935699463,0.004078865051269531,0.11108803749084473,93.8,154,40,0,0,40
7,M2 Opt,0.0014638423919677735,0.001279592514038086,0.0007159709930419922,0.0034770965576171875,58,84.2,40,0,0,40
10,M2 Base,0.08903747797012329,0.08430659770965576,0.014111995697021484,0.18730497360229492,178.5,310,40,0,0,40
10,M2 Opt,0.0032247066497802734,0.0020600557327270508,0.0014531612396240234,0.010641098022460938,104.85,153.35,40,0,0,40
