n,s_factor,duration,size,seed,model,status,objective,runtime,wall_time,servers,fireups,num_vars,num_constrs
3,1.0,short,low,42,M2 Base,2,4.0,0.0011830329895019531,0.001786947250366211,2,2,21,30
3,1.0,short,low,42,M2 Opt,2,4.0,0.0002689361572265625,0.0006549358367919922,2,2,15,23
3,1.0,short,low,43,M2 Base,2,4.0,0.0010590553283691406,0.0014781951904296875,2,2,18,30
3,1.0,short,low,43,M2 Opt,2,4.0,0.0004031658172607422,0.00090789794921875,2,2,14,23
3,1.0,short,low,44,M2 Base,2,4.0,0.0014450550079345703,0.0019202232360839844,2,2,21,30
3,1.0,short,low,44,M2 Opt,2,4.0,0.0002739429473876953,0.0006508827209472656,2,2,15,23
3,1.0,short,low,45,M2 Base,2,4.0,0.0011138916015625,0.0014491081237792969,2,2,15,30
3,1.0,short,low,45,M2 Opt,2,4.0,0.00021600723266601562,0.0005681514739990234,2,2,12,26
3,1.0,short,low,46,M2 Base,2,4.0,0.0011420249938964844,0.001482248306274414,2,2,18,30
3,1.0,short,low,46,M2 Opt,2,4.0,0.00017499923706054688,0.0004639625549316406,2,2,13,25
3,1.0,short,high,42,M2 Base,2,6.0,0.0003619194030761719,0.0007131099700927734,3,3,21,30
3,1.0,short,high,42,M2 Opt,2,6.0,0.00017905235290527344,0.0004627704620361328,3,3,15,23
3,1.0,short,high,43,M2 Base,2,6.0,0.0004169940948486328,0.0008242130279541016,3,3,18,30
3,1.0,short,high,43,M2 Opt,2,6.0,0.0002079010009765625,0.0004930496215820312,3,3,14,23
3,1.0,short,high,44,M2 Base,2,4.0,0.0013539791107177734,0.00168609619140625,2,2,21,30
3,1.0,short,high,44,M2 Opt,2,4.0,0.0002200603485107422,0.0005121231079101562,2,2,15,23
3,1.0,short,high,45,M2 Base,2,4.0,0.0009119510650634766,0.0012240409851074219,2,2,15,30
3,1.0,short,high,45,M2 Opt,2,4.0,0.0002589225769042969,0.0006101131439208984,2,2,12,26
3,1.0,short,high,46,M2 Base,2,4.0,0.0008349418640136719,0.0012388229370117188,2,2,18,30
3,1.0,short,high,46,M2 Opt,2,4.0,0.0002238750457763672,0.0005450248718261719,2,2,13,25
3,1.0,long,low,42,M2 Base,2,4.0,0.0013320446014404297,0.0018091201782226562,2,2,21,30
3,1.0,long,low,42,M2 Opt,2,4.0,0.00028896331787109375,0.0006787776947021484,2,2,15,23
3,1.0,long,low,43,M2 Base,2,4.0,0.0014009475708007812,0.0018110275268554688,2,2,18,30
