n,s_factor,duration,size,model,mean_runtime,mean_num_vars,mean_num_constrs,optimal_count,timelimit_count,other_status_count,num_instances
3,1.0,short,low,M2 Base,0.0011886119842529296,18.6,30,5,0,0,5
3,1.0,short,low,M2 Opt,0.0002674102783203125,13.8,24,5,0,0,5
3,1.0,short,high,M2 Base,0.0007759571075439453,18.6,30,5,0,0,5
3,1.0,short,high,M2 Opt,0.00021796226501464845,13.8,24,5,0,0,5
3,1.0,long,low,M2 Base,0.0010267734527587891,18.6,30,5,0,0,5
3,1.0,long,low,M2 Opt,0.00023818016052246094,13.8,24,5,0,0,5
3,1.0,long,high,M2 Base,0.0010681629180908203,18.6,30,5,0,0,5
3,1.0,long,high,M2 Opt,0.0002665519714355469,13.8,24,5,0,0,5
3,1.2,short,low,M2 Base,0.0009260177612304688,18.6,30,5,0,0,5
3,1.2,short,low,M2 Opt,0.00022935867309570312,13.8,24,5,0,0,5
3,1.2,short,high,M2 Base,0.0011225223541259765,18.6,30,5,0,0,5
3,1.2,short,high,M2 Opt,0.00025844573974609375,13.8,24,5,0,0,5
3,1.2,long,low,M2 Base,0.0012998580932617188,18.6,30,5,0,0,5
3,1.2,long,low,M2 Opt,0.0002947807312011719,13.8,24,5,0,0,5
3,1.2,long,high,M2 Base,0.0007525920867919922,18.6,30,5,0,0,5
3,1.2,long,high,M2 Opt,0.0002106189727783203,13.8,24,5,0,0,5
5,1.0,short,low,M2 Base,0.010402393341064454,47,80,5,0,0,5
5,1.0,short,low,M2 Opt,0.000933980941772461,31.6,49.8,5,0,0,5
5,1.0,short,high,M2 Base,0.01033477783203125,47,80,5,0,0,5
5,1.0,short,high,M2 Opt,0.0006649494171142578,31.6,49.8,5,0,0,5
5,1.0,long,low,M2 Base,0.0226900577545166,47,80,5,0,0,5
5,1.0,long,low,M2 Opt,0.0007908344268798828,31.6,49.8,5,0,0,5
5,1.0,long,high,M2 Base,0.0074866294860839845,47,80,5,0,0,5
5,1.0,long,high,M2 Opt,0.0006803989410400391,31.6,49.8,5,0,0,5
5,1.2,short,low,M2 Base,0.009356021881103516,47,80,5,0,0,5
5,1.2,short,low,M2 Opt,0.0007131576538085937,31.6,49.8,5,0,0,5
5,1.2,short,high,M2 Base,0.01099224090576172,47,80,5,0,0,5
5,1.2,short,high,M2 Opt,0.0006254196166992187,31.6,49.8,5,0,0,5
5,1.2,long,low,M2 Base,0.0059337615966796875,47,80,5,0,0,5
5,1.2,long,low,M2 Opt,0.0007264137268066407,31.6,49.8,5,0,0,5
5,1.2,long,high,M2 Base,0.00632319450378418,47,80,5,0,0,5
5,1.2,long,high,M2 Opt,0.0005295753479003906,31.6,49.8,5,0,0,5
7,1.0,short,low,M2 Base,0.0609858512878418,92.4,154,5,0,0,5
7,1.0,short,low,M2 Opt,0.0020782470703125,57.6,84.2,5,0,0,5
7,1.0,short,high,M2 Base,0.02822222709655762,92.4,154,5,0,0,5
7,1.0,short,high,M2 Opt,0.001732206344604492,57.6,84.2,5,0,0,5
7,1.0,long,low,M2 Base,0.03279056549072266,92.4,154,5,0,0,5
7,1.0,long,low,M2 Opt,0.0012519359588623047,57.6,84.2,5,0,0,5
7,1.0,long,high,M2 Base,0.022943401336669923,92.4,154,5,0,0,5
7,1.0,long,high,M2 Opt,0.001410675048828125,57.6,84.2,5,0,0,5
7,1.2,short,low,M2 Base,0.05220708847045898,95.2,154,5,0,0,5
7,1.2,short,low,M2 Opt,0.0015018939971923827,58.4,84.2,5,0,0,5
7,1.2,short,high,M2 Base,0.013124561309814453,95.2,154,5,0,0,5
7,1.2,short,high,M2 Opt,0.001267862319946289,58.4,84.2,5,0,0,5
7,1.2,long,low,M2 Base,0.0358792781829834,95.2,154,5,0,0,5
7,1.2,long,low,M2 Opt,0.0012653350830078125,58.4,84.2,5,0,0,5
7,1.2,long,high,M2 Base,0.011307859420776367,95.2,154,5,0,0,5
7,1.2,long,high,M2 Opt,0.0012025833129882812,58.4,84.2,5,0,0,5
10,1.0,short,low,M2 Base,0.10227403640747071,178,310,5,0,0,5
10,1.0,short,low,M2 Opt,0.0031138896942138673,104.6,154.2,5,0,0,5
10,1.0,short,high,M2 Base,0.060965538024902344,178,310,5,0,0,5
10,1.0,short,high,M2 Opt,0.004667091369628906,104.6,150.8,5,0,0,5
10,1.0,long,low,M2 Base,0.09326343536376953,178,310,5,0,0,5
10,1.0,long,low,M2 Opt,0.0030898094177246095,104.6,150.8,5,0,0,5
10,1.0,long,high,M2 Base,0.06383824348449707,178,310,5,0,0,5
10,1.0,long,high,M2 Opt,0.00384521484375,104.6,150.8,5,0,0,5
10,1.2,short,low,M2 Base,0.09588842391967774,180,310,5,0,0,5
10,1.2,short,low,M2 Opt,0.0032198429107666016,106.6,155.2,5,0,0,5
10,1.2,short,high,M2 Base,0.07238702774047852,178,310,5,0,0,5
10,1.2,short,high,M2 Opt,0.002725648880004883,104.8,154.4,5,0,0,5
10,1.2,long,low,M2 Base,0.13142223358154298,180,310,5,0,0,5
10,1.2,long,low,M2 Opt,0.0022817611694335937,105.4,154.4,5,0,0,5
10,1.2,long,high,M2 Base,0.09226088523864746,178,310,5,0,0,5
10,1.2,long,high,M2 Opt,0.0028543949127197267,103.6,156.2,5,0,0,5
