T_size,class,model,mean_n_jobs,mean_runtime,mean_num_vars,mean_num_constrs,optimal_count,timelimit_count,other_status_count,num_instances
3,I,M3 Base,11,0.0019870599110921225,48.666666666666664,85,3,0,0,3
3,I,M3 Opt,11,0.0012354056040445964,48.666666666666664,97,3,0,0,3
3,II,M3 Base,16.333333333333332,0.0022109349568684897,77,136,3,0,0,3
3,II,M3 Opt,16.333333333333332,0.0020243326822916665,77,153.33333333333334,3,0,0,3
3,III,M3 Base,21.666666666666668,0.004039287567138672,114,201,3,0,0,3
3,III,M3 Opt,21.666666666666668,0.003928979237874349,114,223.66666666666666,3,0,0,3
3,IV,M3 Base,27.333333333333332,0.010626554489135742,246,474.6666666666667,3,0,0,3
3,IV,M3 Opt,27.333333333333332,0.00858163833618164,246,503,3,0,0,3
3,V,M3 Base,32.666666666666664,0.00967709223429362,261,489,3,0,0,3
3,V,M3 Opt,32.666666666666664,0.010587294896443685,261,522.6666666666666,3,0,0,3
3,VI,M3 Base,37.333333333333336,0.024103244145711262,351.3333333333333,669,3,0,0,3
3,VI,M3 Opt,37.333333333333336,0.01909033457438151,351.3333333333333,707.3333333333334,3,0,0,3
3,VII,M3 Base,32.666666666666664,0.014541705449422201,229.66666666666666,418.6666666666667,3,0,0,3
3,VII,M3 Opt,32.666666666666664,0.014751354853312174,229.66666666666666,452.3333333333333,3,0,0,3
5,I,M3 Base,13,0.001915295918782552,63,121.33333333333333,3,0,0,3
5,I,M3 Opt,13,0.0024379094441731772,63,135.33333333333334,3,0,0,3
5,II,M3 Base,19.666666666666668,0.013067960739135742,117.66666666666667,230.33333333333334,3,0,0,3
5,II,M3 Opt,19.666666666666668,0.024414698282877605,117.66666666666667,251,3,0,0,3
5,III,M3 Base,25.666666666666668,0.03654042879740397,252,508,3,0,0,3
5,III,M3 Opt,25.666666666666668,0.03598761558532715,252,534.6666666666666,3,0,0,3
5,IV,M3 Base,31.333333333333332,0.28244733810424805,304,623.6666666666666,3,0,0,3
5,IV,M3 Opt,31.333333333333332,0.04831433296203613,304,656,3,0,0,3
5,V,M3 Base,38.333333333333336,0.038041273752848305,385.6666666666667,780,3,0,0,3
5,V,M3 Opt,38.333333333333336,0.040493011474609375,385.6666666666667,819.3333333333334,3,0,0,3
5,VI,M3 Base,51.333333333333336,0.19986335436503092,799,1618,3,0,0,3
5,VI,M3 Opt,51.333333333333336,0.13108309110005698,799,1670.3333333333333,3,0,0,3
5,VII,M3 Base,38.333333333333336,0.08568453788757324,420.6666666666667,850.3333333333334,3,0,0,3
5,VII,M3 Opt,38.333333333333336,0.053525686264038086,420.6666666666667,889.6666666666666,3,0,0,3
7,I,M3 Base,15,0.005277077356974284,82,174.66666666666666,3,0,0,3
7,I,M3 Opt,15,0.004208962122599284,82,190.66666666666666,3,0,0,3
7,II,M3 Base,23.666666666666668,0.008765379587809244,170.33333333333334,358.3333333333333,3,0,0,3
7,II,M3 Opt,23.666666666666668,0.008565028508504232,170.33333333333334,383,3,0,0,3
7,III,M3 Base,29.333333333333332,0.01993862787882487,248.66666666666666,526.3333333333334,3,0,0,3
7,III,M3 Opt,29.333333333333332,0.016231616338094074,248.66666666666666,556.6666666666666,3,0,0,3
7,IV,M3 Base,37,0.021301984786987305,389.6666666666667,828,3,0,0,3
7,IV,M3 Opt,37,0.021929343541463215,389.6666666666667,866,3,0,0,3
7,V,M3 Base,44,0.11718869209289551,513,1077.3333333333333,3,0,0,3
7,V,M3 Opt,44,0.1371603012084961,513,1122.3333333333333,3,0,0,3
7,VI,M3 Base,64,0.6661447683970133,1393,2891,3,0,0,3
7,VI,M3 Opt,64,0.6070983409881592,1393,2956,3,0,0,3
7,VII,M3 Base,44,0.07717124621073405,594,1256.3333333333333,3,0,0,3
7,VII,M3 Opt,44,0.07810298601786296,594,1301.3333333333333,3,0,0,3
