T_size,class,instance_id,seed,n_jobs,model,status,objective,runtime,wall_time,servers,fireups,num_vars,num_constrs
3,I,0,300042,11,M3 Base,2,12.0,0.0012819766998291016,0.002825021743774414,6,6,51,93
3,I,0,300042,11,M3 Opt,2,12.0,0.0021789073944091797,0.0034873485565185547,6,6,51,105
3,I,1,300043,11,M3 Base,2,12.0,0.0030088424682617188,0.004074811935424805,6,6,47,77
3,I,1,300043,11,M3 Opt,2,12.0,0.0009591579437255859,0.002118825912475586,6,6,47,89
3,I,2,300044,11,M3 Base,2,12.0,0.002782106399536133,0.003844022750854492,6,6,48,85
3,I,2,300044,11,M3 Opt,2,12.0,0.0018138885498046875,0.003010988235473633,6,6,48,97
3,II,0,301042,16,M3 Base,2,20.0,0.002268075942993164,0.004066944122314453,10,10,97,183
3,II,0,301042,16,M3 Opt,2,20.0,0.0034821033477783203,0.005434989929199219,10,10,97,200
3,II,1,301043,16,M3 Base,2,22.0,0.0009641647338867188,0.002588033676147461,11,11,68,118
3,II,1,301043,16,M3 Opt,2,22.0,0.0006530284881591797,0.0019381046295166016,11,11,68,135
3,II,2,301044,17,M3 Base,2,22.0,0.002953052520751953,0.0042002201080322266,11,11,66,107
3,II,2,301044,17,M3 Opt,2,22.0,0.002538919448852539,0.003986835479736328,11,11,66,125
3,III,0,302042,21,M3 Base,2,24.0,0.0047838687896728516,0.0074040889739990234,12,12,131,233
3,III,0,302042,21,M3 Opt,2,24.0,0.004687070846557617,0.0070989131927490234,12,12,131,255
3,III,1,302043,22,M3 Base,2,30.0,0.0032389163970947266,0.004967927932739258,15,15,96,164
3,III,1,302043,22,M3 Opt,2,30.0,0.0023589134216308594,0.00465703010559082,15,15,96,187
3,III,2,302044,22,M3 Base,2,28.0,0.0032050609588623047,0.005443096160888672,14,14,115,206
3,III,2,302044,22,M3 Opt,2,28.0,0.00391387939453125,0.006150960922241211,14,14,115,229
5,I,0,500042,13,M3 Base,2,16.0,0.002529144287109375,0.003564119338989258,8,8,53,96
5,I,0,500042,13,M3 Opt,2,16.0,0.0028879642486572266,0.0039899349212646484,8,8,53,110
5,I,1,500043,13,M3 Base,2,12.0,0.0027048587799072266,0.004030942916870117,6,6,65,124
5,I,1,500043,13,M3 Opt,2,12.0,0.002780914306640625,0.0042972564697265625,6,6,65,138
5,I,2,500044,13,M3 Base,2,12.0,0.0014209747314453125,0.002984285354614258,6,6,71,144
5,I,2,500044,13,M3 Opt,2,12.0,0.0009019374847412109,0.002428293228149414,6,6,71,158
5,II,0,501042,20,M3 Base,2,18.0,0.02827596664428711,0.03131389617919922,9,9,144,287
5,II,0,501042,20,M3 Opt,2,18.0,0.05511116981506348,0.05835318565368652,9,9,144,308
5,II,1,501043,20,M3 Base,2,20.0,0.0033521652221679688,0.005957841873168945,10,10,108,215
5,II,1,501043,20,M3 Opt,2,20.0,0.0022089481353759766,0.004675149917602539,10,10,108,236
5,II,2,501044,19,M3 Base,2,22.0,0.010785818099975586,0.013062238693237305,11,11,101,189
5,II,2,501044,19,M3 Opt,2,22.0,0.01150202751159668,0.013797998428344727,11,11,101,209
5,III,0,502042,26,M3 Base,2,28.0,0.05296897888183594,0.05778193473815918,14,14,212,424
5,III,0,502042,26,M3 Opt,2,28.0,0.046228885650634766,0.0515599250793457,14,14,212,451
5,III,1,502043,25,M3 Base,2,20.0,0.021667003631591797,0.0272519588470459,10,10,246,489
5,III,1,502043,25,M3 Opt,2,20.0,0.012856006622314453,0.018548965454101562,10,10,246,515
5,III,2,502044,26,M3 Base,2,20.0,0.030653953552246094,0.037664175033569336,10,10,298,611
5,III,2,502044,26,M3 Opt,2,20.0,0.028423070907592773,0.036184072494506836,10,10,298,638
6,I,0,600042,14,M3 Base,2,16.0,0.0027549266815185547,0.00422978401184082,8,8,61,119
6,I,0,600042,14,M3 Opt,2,16.0,0.003303050994873047,0.0051746368408203125,8,8,61,134
6,I,1,600043,14,M3 Base,2,18.0,0.0009801387786865234,0.0020799636840820312,9,9,50,91
6,I,1,600043,14,M3 Opt,2,18.0,0.003760814666748047,0.004953861236572266,9,9,50,106
6,I,2,600044,14,M3 Base,2,14.0,0.0034770965576171875,0.005135297775268555,7,7,71,147
6,I,2,600044,14,M3 Opt,2,14.0,0.0041980743408203125,0.005955934524536133,7,7,71,162
6,II,0,601042,21,M3 Base,2,24.0,0.004098176956176758,0.0069789886474609375,12,12,120,241
6,II,0,601042,21,M3 Opt,2,24.0,0.003509044647216797,0.006328105926513672,12,12,120,263
6,II,1,601043,22,M3 Base,2,24.0,0.0071239471435546875,0.009479999542236328,12,12,112,224
6,II,1,601043,22,M3 Opt,2,24.0,0.006659030914306641,0.009313106536865234,12,12,112,247
6,II,2,601044,23,M3 Base,2,24.0,0.004144191741943359,0.007291078567504883,12,12,133,265
6,II,2,601044,23,M3 Opt,2,24.0,0.0038900375366210938,0.007057905197143555,12,12,133,289
6,III,0,602042,27,M3 Base,2,28.0,0.018059968948364258,0.023037195205688477,14,14,202,407
6,III,0,602042,27,M3 Opt,2,28.0,0.013840913772583008,0.018573999404907227,14,14,202,435
6,III,1,602043,28,M3 Base,2,32.0,0.011960983276367188,0.016192913055419922,16,16,190,376
6,III,1,602043,28,M3 Opt,2,32.0,0.011155843734741211,0.015699148178100586,16,16,190,405
6,III,2,602044,28,M3 Base,2,26.0,0.020666122436523438,0.02598094940185547,13,13,237,498
6,III,2,602044,28,M3 Opt,2,26.0,0.02022099494934082,0.025950908660888672,13,13,237,527
