T_size,class,instance_id,seed,n_jobs,model,status,objective,runtime,wall_time,servers,fireups,num_vars,num_constrs
3,I,0,300042,11,M1 Base,2,12.0,0.015257120132446289,0.47113704681396484,6,"[(0, 0), (0, 1), (0, 2), (0, 3), (0, 4), (0, 10)]",187,253
3,I,0,300042,11,M1 Opt,2,12.0,0.007035970687866211,0.009274005889892578,6,6,130,215
3,I,1,300043,11,M1 Base,2,12.0,0.004803180694580078,0.008030176162719727,6,"[(0, 0), (0, 1), (0, 2), (0, 4), (0, 7), (0, 9)]",187,253
3,I,1,300043,11,M1 Opt,2,12.0,0.002410888671875,0.004450082778930664,6,6,130,215
3,I,2,300044,11,M1 Base,2,12.0,0.00603795051574707,0.008508920669555664,6,"[(0, 0), (0, 3), (0, 4), (0, 6), (0, 7), (0, 9)]",187,253
3,I,2,300044,11,M1 Opt,2,12.0,0.0027740001678466797,0.0048732757568359375,6,6,130,215
3,II,0,301042,16,M1 Base,2,20.0,0.009364128112792969,0.014742851257324219,10,"[(0, 0), (0, 2), (0, 3), (0, 5), (0, 6), (0, 7), (0, 9), (0, 13), (0, 14), (0, 15)]",352,448
3,II,0,301042,16,M1 Opt,2,20.0,0.0065059661865234375,0.009925127029418945,10,10,230,355
3,II,1,301043,16,M1 Base,2,22.0,0.012298822402954102,0.016458988189697266,11,"[(0, 0), (0, 2), (0, 4), (0, 5), (0, 6), (0, 8), (0, 10), (0, 11), (0, 12), (0, 13), (0, 15)]",352,448
3,II,1,301043,16,M1 Opt,2,22.0,0.004890918731689453,0.008100032806396484,11,11,230,355
3,II,2,301044,17,M1 Base,2,22.0,0.037045955657958984,0.042710065841674805,11,"[(0, 0), (0, 1), (0, 3), (0, 4), (0, 5), (0, 7), (0, 9), (0, 11), (0, 13), (0, 14), (0, 16)]",391,493
3,II,2,301044,17,M1 Opt,2,22.0,0.00493311882019043,0.008069992065429688,11,11,251,382
3,III,0,302042,21,M1 Base,2,24.0,0.10222196578979492,0.109527587890625,12,"[(0, 0), (0, 1), (0, 4), (0, 6), (0, 9), (0, 10), (0, 11), (0, 12), (0, 16), (0, 19), (0, 20), (1, 7)]",567,693
3,III,0,302042,21,M1 Opt,2,24.0,0.018533945083618164,0.02289605140686035,12,12,355,520
3,III,1,302043,22,M1 Base,2,30.0,0.01732802391052246,0.025825977325439453,15,"[(0, 0), (0, 1), (0, 2), (0, 4), (0, 7), (0, 9), (0, 10), (0, 12), (0, 13), (0, 14), (0, 15), (0, 17), (0, 18), (0, 20), (0, 21)]",616,748
3,III,1,302043,22,M1 Opt,2,30.0,0.009042978286743164,0.013690948486328125,15,15,381,552
3,III,2,302044,22,M1 Base,2,28.0,0.016809940338134766,0.023785829544067383,14,"[(0, 0), (0, 2), (0, 3), (0, 5), (0, 9), (0, 10), (0, 13), (0, 14), (0, 16), (0, 17), (0, 18), (0, 19), (0, 20), (0, 21)]",616,748
3,III,2,302044,22,M1 Opt,2,28.0,0.008262872695922852,0.013484001159667969,14,14,381,552
3,IV,0,303042,27,M1 Base,2,26.0,0.1119229793548584,0.12235593795776367,13,"[(0, 0), (0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 13), (0, 14), (0, 16), (0, 17), (0, 25), (0, 26)]",891,1053
3,IV,0,303042,27,M1 Opt,2,26.0,0.06386208534240723,0.07236981391906738,13,13,536,747
3,IV,1,303043,28,M1 Base,2,30.0,0.21814393997192383,0.23163104057312012,15,"[(0, 0), (0, 1), (0, 2), (0, 3), (0, 4), (0, 7), (0, 9), (0, 11), (0, 12), (0, 14), (0, 15), (0, 16), (0, 20), (0, 24), (0, 26)]",952,1120
3,IV,1,303043,28,M1 Opt,2,30.0,0.04094505310058594,0.05058717727661133,15,15,568,785
3,IV,2,303044,27,M1 Base,2,26.0,0.14362692832946777,0.1571788787841797,13,"[(0, 0), (0, 1), (0, 2), (0, 3), (0, 7), (0, 8), (0, 9), (0, 10), (0, 13), (0, 20), (0, 22), (0, 23), (0, 26)]",891,1053
3,IV,2,303044,27,M1 Opt,2,26.0,0.04766702651977539,0.05683016777038574,13,13,536,747
3,V,0,304042,33,M1 Base,2,34.0,0.16111493110656738,0.18249177932739258,17,"[(0, 0), (0, 2), (0, 5), (0, 7), (0, 9), (0, 10), (0, 13), (0, 14), (0, 15), (0, 16), (0, 21), (0, 23), (0, 26), (0, 29), (0, 30), (0, 31), (0, 32)]",1287,1485
3,V,0,304042,33,M1 Opt,2,34.0,0.3308589458465576,0.34349584579467773,17,17,753,1010
3,V,1,304043,32,M1 Base,2,46.0,0.04170393943786621,0.06630778312683105,23,"[(0, 0), (0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 7), (0, 9), (0, 11), (0, 12), (0, 13), (0, 14), (0, 17), (0, 18), (0, 19), (0, 20), (0, 23), (0, 24), (0, 26), (0, 28), (0, 29), (0, 30), (0, 31)]",1216,1408
3,V,1,304043,32,M1 Opt,2,46.0,0.03489089012145996,0.04800581932067871,23,23,716,967
3,V,2,304044,33,M1 Base,2,36.0,0.35625576972961426,0.3770439624786377,18,"[(0, 1), (0, 3), (0, 4), (0, 6), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 18), (0, 19), (0, 20), (0, 22), (0, 23), (0, 25), (0, 29), (0, 32)]",1287,1485
3,V,2,304044,33,M1 Opt,2,36.0,0.07914209365844727,0.09387087821960449,18,18,753,1010
3,VI,0,305042,35,M1 Base,2,36.0,0.08112788200378418,0.10946011543273926,18,"[(0, 0), (0, 3), (0, 4), (0, 8), (0, 9), (0, 11), (0, 13), (0, 15), (0, 16), (0, 17), (0, 18), (0, 19), (0, 26), (0, 27), (0, 28), (0, 29), (0, 31), (0, 34)]",1435,1645
3,VI,0,305042,35,M1 Opt,2,36.0,0.04045414924621582,0.054780006408691406,18,18,830,1099
3,VI,1,305043,39,M1 Base,2,46.0,0.32877111434936523,0.35608482360839844,23,"[(0, 0), (0, 4), (0, 9), (0, 11), (0, 15), (0, 16), (0, 18), (0, 19), (0, 20), (0, 21), (0, 22), (0, 23), (0, 25), (0, 26), (0, 28), (0, 30), (0, 31), (0, 32), (0, 33), (0, 34), (0, 36), (0, 37), (0, 38)]",1755,1989
3,VI,1,305043,39,M1 Opt,2,46.0,2.1317901611328125,2.1494550704956055,23,23,996,1289
3,VI,2,305044,38,M1 Base,2,38.0,1.0275301933288574,1.0609440803527832,19,"[(0, 0), (0, 3), (0, 5), (0, 9), (0, 12), (0, 13), (0, 16), (0, 17), (0, 18), (0, 20), (0, 21), (0, 26), (0, 27), (0, 28), (0, 32), (0, 35), (0, 36), (0, 37), (1, 8)]",1672,1900
3,VI,2,305044,38,M1 Opt,2,38.0,0.6695029735565186,0.6913621425628662,19,19,953,1240
3,VII,0,306042,32,M1 Base,2,42.0,0.09083700180053711,0.1181039810180664,21,"[(0, 2), (0, 4), (0, 6), (0, 9), (0, 10), (0, 12), (0, 13), (0, 15), (0, 17), (0, 19), (0, 20), (0, 22), (0, 23), (0, 24), (0, 26), (0, 27), (0, 28), (0, 29), (0, 30), (0, 31), (1, 0)]",1216,1408
3,VII,0,306042,32,M1 Opt,2,42.0,0.04559779167175293,0.060584068298339844,21,21,716,967
3,VII,1,306043,33,M1 Base,2,42.0,0.28672099113464355,0.31728482246398926,21,"[(0, 0), (0, 1), (0, 3), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 12), (0, 13), (0, 15), (0, 18), (0, 19), (0, 20), (0, 21), (0, 23), (0, 25), (0, 27), (0, 28), (0, 31), (0, 32)]",1287,1485
3,VII,1,306043,33,M1 Opt,2,42.0,0.31331706047058105,0.3326880931854248,21,21,753,1010
3,VII,2,306044,33,M1 Base,2,34.0,0.17532992362976074,0.20378613471984863,17,"[(0, 0), (0, 1), (0, 3), (0, 5), (0, 6), (0, 7), (0, 8), (0, 10), (0, 11), (0, 12), (0, 17), (0, 18), (0, 19), (0, 22), (0, 28), (0, 29), (0, 32)]",1287,1485
3,VII,2,306044,33,M1 Opt,2,34.0,0.3591461181640625,0.3755769729614258,17,17,753,1010
5,I,0,500042,13,M1 Base,2,16.0,0.053572893142700195,0.06162214279174805,8,"[(0, 0), (0, 4), (0, 5), (0, 6), (0, 8), (0, 10), (0, 11), (0, 12)]",299,429
5,I,0,500042,13,M1 Opt,2,16.0,0.013796091079711914,0.018645048141479492,8,8,209,352
5,I,1,500043,13,M1 Base,2,12.0,0.018249034881591797,0.024466991424560547,6,"[(0, 0), (0, 2), (0, 3), (0, 9), (0, 10), (1, 11)]",299,429
5,I,1,500043,13,M1 Opt,2,12.0,0.007929086685180664,0.012490034103393555,6,6,209,352
5,I,2,500044,13,M1 Base,2,12.0,0.014741182327270508,0.02104496955871582,6,"[(0, 0), (0, 2), (0, 5), (0, 9), (0, 10), (0, 12)]",299,429
5,I,2,500044,13,M1 Opt,2,12.0,0.0071260929107666016,0.011432170867919922,6,6,209,352
